Class,View,B_G/B_N,B_G/B_a,B_G/B_b,B_G/B_c,B_G/B_d,B_G/B_e,B_G/B_f,B_G/B_g,B_G/B_h,B_G/B_i,B_G/B_j,B_G/B_k,B_G/B_l,B_R/B_N,B_R/B_a,B_R/B_b,B_R/B_c,B_R/B_d,B_R/B_e,B_R/B_f,B_R/B_g,B_R/B_h,B_R/B_i,B_R/B_j,B_R/B_k,B_R/B_l,G_B/G_N,G_B/G_a,G_B/G_b,G_B/G_c,G_B/G_d,G_B/G_e,G_B/G_f,G_B/G_g,G_B/G_h,G_B/G_i,G_B/G_j,G_B/G_k,G_B/G_l,G_R/G_N,G_R/G_a,G_R/G_b,G_R/G_c,G_R/G_d,G_R/G_e,G_R/G_f,G_R/G_g,G_R/G_h,G_R/G_i,G_R/G_j,G_R/G_k,G_R/G_l,R_B/R_N,R_B/R_a,R_B/R_b,R_B/R_c,R_B/R_d,R_B/R_e,R_B/R_f,R_B/R_g,R_B/R_h,R_B/R_i,R_B/R_j,R_B/R_k,R_B/R_l,R_G/R_N,R_G/R_a,R_G/R_b,R_G/R_c,R_G/R_d,R_G/R_e,R_G/R_f,R_G/R_g,R_G/R_h,R_G/R_i,R_G/R_j,R_G/R_k,R_G/R_l,UV_G/B_N,UV_G/B_a,UV_G/B_b,UV_G/B_c,UV_G/B_d,UV_G/B_e,UV_G/B_f,UV_G/B_g,UV_G/B_h,UV_G/B_i,UV_G/B_j,UV_G/B_k,UV_G/B_l,UV_R/B_N,UV_R/B_a,UV_R/B_b,UV_R/B_c,UV_R/B_d,UV_R/B_e,UV_R/B_f,UV_R/B_g,UV_R/B_h,UV_R/B_i,UV_R/B_j,UV_R/B_k,UV_R/B_l
Clay,1,0.5786450482747383,0.6971564178358799,0.829551927093222,0.6833625602805787,0.6778955668477309,0.4968729782186759,0.7652321083172147,0.5949017697678194,0.7571450801390114,0.44879207103035307,0.6824228403175772,0.5584863244660923,0.5570105215004575,0.43422821526052063,0.4039718556143054,0.38532371368900703,0.5132069267864973,0.41497284037147364,0.44546042700021565,0.4925048355899419,0.46046436109758077,0.5691166554281861,0.17752426182118522,0.13665282086334718,0.4586736605470214,0.239935956084172,0.9464052896256286,0.9790162345529441,0.927382410305257,0.9411710635168673,0.9473275778446018,0.956064677320511,0.9585307426137877,0.9592751268035654,0.8967577227470003,0.8338940901111762,0.8209264807559347,0.8678499708492582,0.8590236514039381,0.27509778357235987,0.3785800823842986,0.33088402050165555,0.2888133100468793,0.37957124842370743,0.3777872059586103,0.4471652914559489,0.38193726301275427,0.3715598672453408,0.15813341135166764,0.16900975647230546,0.15534106367817582,0.16084119771641617,0.5927487352445194,0.5872082337805551,0.5610963424695206,0.5671307920566081,0.547887584357955,0.5621879255560599,0.5537994188606147,0.6050800426894344,0.538548197492163,0.4482035782186906,0.5797618449479978,0.5780954688635813,0.5801526717557252,0.5563518830803822,0.554723396434479,0.5265835548629572,0.5481853458114585,0.4865027271886845,0.5014071720381298,0.5097296821343665,0.5796371398078976,0.49627742946708464,0.4429386242870375,0.5546902477013516,0.5196026169130119,0.5527950310559007,0.5617704280155642,0.2707897754097255,1.0429876410531973,0.28634361233480177,0.23194178099031323,0.161641210618272,0.5707232065059541,0.24844585803093824,0.6367220501267248,0.9887320862050104,0.9553494762150095,0.38801971710244326,0.7685560551337806,0.6969844357976654,0.563364133000607,0.8462520150456744,0.5220893643801133,0.550228647293111,0.4431043228315392,0.75583309129635,0.5082405667196762,0.7457054350887073,0.6175473142982169,0.8762665292804397,0.593977711101586,0.7746001326748729
Clay,1,0.5722914307285768,0.6895459797167187,0.847851045774472,0.7028494653753569,0.6819356563586133,0.4968375425715423,0.7648791691631716,0.5785802215839146,0.7470696452036794,0.47578317117502406,0.695753409468899,0.5981891976272244,0.5856440856440857,0.4710792332536387,0.48226282682185806,0.473269105975141,0.5908302076918771,0.47887888779966137,0.46605334158963246,0.5637607349710405,0.5058268362741075,0.5869645203679369,0.20854271356783918,0.1862179842554607,0.5136590696222292,0.2908037908037908,0.9558607624911201,0.9741248097412482,0.9208748059537941,0.9557974754821453,0.9475559073817534,0.9658192897267447,0.9562079444323855,0.9677484479886943,0.9265387858347386,0.8226510452561452,0.8356500408830745,0.8822154405558081,0.8589535652069442,0.30897466256215955,0.4335935582069034,0.3517486987489727,0.3474731359391863,0.422174945576885,0.34894791964200705,0.48719340134577815,0.400797456215616,0.38806913996627324,0.19304694080710622,0.24268192968111202,0.20641516784624375,0.20898660419294768,0.6091053314744483,0.5596142198201556,0.5514214046822742,0.5575754699069679,0.5461858529819694,0.5438904008487476,0.5346904678156876,0.5629505890627747,0.5214584516862056,0.473308695205831,0.6236909596067536,0.6205826046463496,0.6132944915254237,0.5552617662612375,0.5073382099426921,0.5085470085470085,0.5398234288969053,0.47979657882570503,0.46510447898888324,0.465133661625044,0.512616493757693,0.46826421525590045,0.4640180679601684,0.6085702073092542,0.5787240647798416,0.600529661016949,0.5939873088525955,0.2778372209144732,1.0351534870561607,0.283181156543602,0.23449953420970915,0.16210072975236273,0.6072075914276576,0.24948610582413402,0.6654359731708819,0.991161616161616,0.9728,0.41683896163565354,0.8049186830622769,0.6971809008634141,0.5491832513018047,0.851534870561607,0.4768647170393895,0.5365386605941415,0.4209833712166527,0.7639407186267193,0.4933384088313666,0.7440772875515353,0.6605831037649219,0.8883555555555556,0.585860326211808,0.8026180087266958
Clay,1,0.5370324498389895,0.6719285623598121,0.8196119299290358,0.6858495408657959,0.6648131672597863,0.4496215087444531,0.7362161624203821,0.5241768503105843,0.7257896382779109,0.45549931456290205,0.6899947859336074,0.5947406053865099,0.5904502870957994,0.4648666501527537,0.4489398620339414,0.4363555158552926,0.5708663662807277,0.45564946619217084,0.4263899765074393,0.535828025477707,0.45946165401323535,0.5731783592202647,0.1935568912791311,0.20166850124558253,0.5109239691745452,0.30214566334239956,0.9404972085699289,0.9604525332021642,0.9235822802135134,0.9439112317992416,0.9514500643373255,0.9496133225791147,0.9462159047253169,0.9610283197623802,0.918995018410223,0.8163299382200702,0.8283717318146518,0.8780487804878049,0.866354556803995,0.2650188481175741,0.39158878504672895,0.3064464619736302,0.2871389109977059,0.3797386914777789,0.3199221900649998,0.41649744799956095,0.3428586060326727,0.3405891271388347,0.1832526298213391,0.23763914056432822,0.19586104951958608,0.21573033707865172,0.5720780173045902,0.5527688223022947,0.5350681881436126,0.5284109757831382,0.5134858630952381,0.5222268383880349,0.5120264317180617,0.5465952965952966,0.48745801847187237,0.4333676622039135,0.6247575584711922,0.6046487333507444,0.59707871246957,0.5142494011829691,0.5026550350843922,0.47170423972539194,0.5033884650016587,0.4439174107142857,0.43765868069981073,0.43312775330396475,0.48481923481923483,0.4332493702770781,0.4289392378990731,0.603251568739304,0.5686079916427266,0.5846902894238571,0.5791979684689451,0.28717332532291984,1.0329169728141074,0.28844494892167993,0.2194803839732888,0.1616277663562704,0.5885663834013906,0.24008202539632462,0.6432616081540203,0.9917801496748865,0.9717197686162887,0.3747751798561152,0.7929365079365079,0.6845836419426515,0.5521928507059177,0.8303453343130052,0.45230419977298525,0.5194595158597662,0.41994195186842426,0.7513519479086194,0.4692799116649578,0.7261230653076632,0.6548889706784443,0.8852263336700027,0.5658723021582734,0.7911904761904762
Clay,1,0.5537419407492042,0.6646111823862931,0.8252686864757087,0.6847733831268036,0.6601903937689312,0.4644797148192158,0.7370176040798313,0.5393718338399189,0.7282731667180912,0.44445014888592255,0.6832863300164954,0.5621654226042374,0.5637972099353522,0.4458091895862238,0.40971733642345737,0.398142294412294,0.5496520115430318,0.4289917784508871,0.4282804277711764,0.5108615701466189,0.45483282674772035,0.537077033837293,0.1771229078960879,0.1540467195232267,0.48081127949935915,0.266190314165816,0.9361243795073523,0.959241614936721,0.9306355779618293,0.9343411137658519,0.9440470977472875,0.9511499626028422,0.9380689206762028,0.949631945144701,0.8913869372885767,0.8169866288190035,0.8323126510878325,0.8678021618080576,0.8650995215876203,0.2372857544254004,0.36148404792839617,0.27628736046092905,0.2700790295901489,0.34544835303848587,0.3166136873597607,0.4247941048981361,0.3446606836744983,0.34275305750715584,0.16396504071113766,0.22981466559226432,0.16462495905666555,0.1770716437304353,0.5797723545866692,0.555661534268974,0.5324856846566572,0.5394519794721407,0.522939523075528,0.5265821650915931,0.5284474445515912,0.5674735972880177,0.4942449919184993,0.44303124093239193,0.580707328506693,0.553357549577852,0.5791217063989962,0.5352561010899971,0.48816823363764367,0.4706253663375265,0.5035282258064516,0.4401124308640856,0.4486048282348725,0.4612080301569212,0.5199704463470816,0.43419699270216,0.4361640390753458,0.5549768217094639,0.4931278225014726,0.5463488080301129,0.574695275511232,0.27034722222222224,1.0320490489793075,0.27091784989858014,0.22195350673708106,0.15506935174975334,0.5920703911799003,0.2477719729563614,0.6290013187867163,0.9915821033210331,0.9672927763760396,0.3329283752376928,0.7689297004365496,0.692958597763675,0.5477083333333334,0.8406604890963562,0.4938302907369845,0.537140318839149,0.4265567871858859,0.7550090109191138,0.490780577750461,0.7282699916077209,0.6326107011070111,0.8791701710120549,0.5651806465244031,0.7787897034472376
Clay,1,0.5636140637775962,0.6915062761506277,0.8295959791223662,0.669841097083152,0.6777855396437305,0.4527112232030265,0.7538748283303904,0.5815855534861122,0.7206096154810248,0.46903640690667875,0.7120008645377426,0.5922638858072627,0.5908010862186016,0.43818479149632056,0.4287029288702929,0.3727044268316258,0.5095232912494558,0.4116311561299337,0.4121899957965532,0.48410829899941143,0.45355899263098226,0.5282999949867148,0.18132563674110083,0.17620359863835305,0.4987057170327639,0.2726861280832768,0.9420951126581683,0.9688875985871197,0.9191475884535336,0.9449932748944854,0.9460925663457309,0.9567488704819277,0.9509645435930595,0.9531359058729684,0.8947909703296137,0.8432569974554707,0.8251316779533483,0.8773663607777705,0.8740058601925492,0.28670210263888235,0.3781874485895389,0.3083883811419781,0.29103473864848567,0.382825863838522,0.3237010542168675,0.43021877357473864,0.36499152457872164,0.3493597984264925,0.15928753180661576,0.20406320541760722,0.18603606494256558,0.19452251390300784,0.5867715376477622,0.5559733225907524,0.5274666188726588,0.5286240220892775,0.5124773960216998,0.5230927742686915,0.513669568260356,0.5731380680836357,0.5043418870133671,0.46789940828402365,0.6074534789644013,0.5924220431453026,0.5979500577802341,0.5467089830274596,0.483505662235352,0.4645577560713326,0.4916244822825586,0.42820976491862567,0.4330063163553286,0.4360264205415336,0.5429410748228789,0.436627963703776,0.46617357001972387,0.6000202265372169,0.5564342559687673,0.5912676480932523,0.5316405078476457,0.2681641708264004,1.0514126264387862,0.2812607795791653,0.2351935646053293,0.15791920953211275,0.5698701298701299,0.24289177870839762,0.6269940105556544,0.9942067736185383,0.9665906699403718,0.3664138446747142,0.7534724645773714,0.6725982205338399,0.5586522462562395,0.8598535054063482,0.4899965505346672,0.5491704374057316,0.4303400174367916,0.749922077922078,0.5011387848064065,0.7320168416058828,0.6150846702317291,0.8870571729217818,0.5826834739878218,0.7825085502896628
Clay,1,0.535568608255833,0.6583589914288092,0.8234287111763268,0.6663020292074604,0.6538345735300443,0.44686831396568355,0.7164230186280741,0.5556624188506852,0.7192710158714265,0.4641691357404711,0.7107979682123545,0.5845760233918128,0.5971775331639854,0.43147332354380813,0.41237413663976036,0.3893372462704818,0.530602198763879,0.3984257387414512,0.4126358182657213,0.4761159732068645,0.4299911837781518,0.5063335502928954,0.1749610807010496,0.18679338030476816,0.49166666666666664,0.27033587355348576,0.9407807466363464,0.9569996143463171,0.927477294293073,0.937180255334839,0.9518763796909492,0.9595389320159962,0.9484858282142472,0.9582185261259456,0.8893355903512484,0.8231946189666642,0.8247846042354458,0.8821088913001851,0.8830086904405156,0.255495546712147,0.35750096413420746,0.27160995888120737,0.2704060469189289,0.3581555064998774,0.2966360856269113,0.3930919280094838,0.3156655478182456,0.306125687685146,0.16320496710769458,0.2329495128432241,0.18248547903236104,0.1952052741983818,0.57213011353397,0.525422164805758,0.5141693073789044,0.5161663887344822,0.49696069787944874,0.5125817587209303,0.5031354063054102,0.5457651731943792,0.4823000195579894,0.4426957223567393,0.590739433067689,0.5847580122613767,0.567837210450931,0.5023878176247972,0.45164713481590846,0.4400633770937075,0.4758662219751714,0.4291216184863812,0.4153343023255814,0.42347446265622973,0.48054499636953835,0.40538822609035785,0.4436541565778854,0.5754060324825986,0.5472760803469072,0.5299056650367956,0.5506031486403599,0.2632717830351991,1.0381596947224423,0.27912186379928317,0.21157634223950703,0.14927141333965172,0.586000664525418,0.23383531879823183,0.640831002796644,0.9924996926103529,0.9685061577512456,0.34372907833072974,0.771243866344731,0.6761398487016971,0.5507068667051356,0.8454892360861115,0.45622759856630823,0.5198747411485428,0.4115626110650397,0.7515782478679809,0.4892485202667266,0.7233985883606339,0.6584286241239394,0.8851179843940961,0.5439634010265565,0.7784095334527612
Clay,1,0.5851524847110283,0.6642176084533784,0.8225352112676056,0.6361675908810844,0.6573859567836232,0.4669888597640891,0.7236673773987206,0.5981462161945269,0.7115440818314661,0.4583497828661666,0.7140406508291314,0.5700947800254633,0.5826236006213509,0.3908711676319307,0.34251042225616046,0.3107185485796133,0.4282193468884782,0.33692767785687205,0.37753931847968547,0.40762852404643446,0.40181365861487844,0.4632245494398441,0.16655151993683381,0.13707958621406666,0.456641674918659,0.2300605281482672,0.9379823337982334,0.9599923246666027,0.9152733336337826,0.9343082424131293,0.9476671476671477,0.9488258957807092,0.9413233458177278,0.9444961088541921,0.8910956135031333,0.8315635784443854,0.8149539333805812,0.8684505289359055,0.8691290469676242,0.24360762436076244,0.3030317566919313,0.2726125557708775,0.23205281012194004,0.28936988936988933,0.2724763775844326,0.33260507698709946,0.30365620870246196,0.29871639377400444,0.13007698433766923,0.15336640680368535,0.14779091474797762,0.15287277701778387,0.5986364828249279,0.5475692745630031,0.5325722849083215,0.5417119565217391,0.5389136242208371,0.533013844515442,0.5361170899698665,0.5948096149755371,0.529949381327334,0.4413740530754205,0.5847867102296259,0.5537125885309573,0.5664983534577388,0.562844156979285,0.4712894186718854,0.4601992242595204,0.5002717391304348,0.4571237756010686,0.43787717429889955,0.4690486439948342,0.5638374813869389,0.4584739407574053,0.4269379198627853,0.5526666973448069,0.49284898332191,0.5321624588364435,0.5491968837164567,0.28177425848879345,1.0468973017059744,0.27868077055383556,0.23140897816254072,0.15340004548555833,0.5592671323008401,0.24418522446094026,0.6378542149349492,0.9933714285714286,0.9568794069788464,0.3310099132589839,0.720704845814978,0.6944310858901607,0.5804589987921084,0.860939305376198,0.5046009631922944,0.5630076358153786,0.43984534910166023,0.7471403988257921,0.5251325556733829,0.7357571437058159,0.5952,0.8731694087868378,0.5769310202395703,0.7640121992544899
Clay,1,0.5303730738037307,0.6330579188481676,0.7973445813162057,0.6284026845637585,0.6164839797639123,0.40985626283367554,0.7247533587824103,0.524084855251615,0.6697725132576695,0.4449580465256494,0.694115739990274,0.5605105105105105,0.5749930536260073,0.41074614760746153,0.36011125654450266,0.3092556199971241,0.47339597315436244,0.35805227655986516,0.3671047227926078,0.4468791829854742,0.43265013158944093,0.4670664618129553,0.16791438476611567,0.15556276003674285,0.4668918918918919,0.2422895248680189,0.9370810912866987,0.9546787914344383,0.9049493304379298,0.9289450539276952,0.9336455116070538,0.9326293659515505,0.9339846552961308,0.9375318714941356,0.8699731903485255,0.8034485424882084,0.8064828253507499,0.8672129015476656,0.8698848912191888,0.21939016331539693,0.29021218343600275,0.2288273615635179,0.22520020367541543,0.2705489688153831,0.22213196999378854,0.3430479659987857,0.27383987761346257,0.262573726541555,0.1493852934353978,0.18521206257055314,0.1539211861100273,0.1795938046164045,0.5656944317454512,0.5051106568305039,0.49549151343705794,0.5093814197671764,0.49042075350627923,0.49684145425630605,0.49248654467168995,0.5242248484584187,0.4822523235119636,0.4339186913639644,0.5590181322289005,0.5338100494313001,0.5328979196903726,0.49309682728353293,0.4154741800728824,0.42348833097595473,0.4561972152476604,0.3914657622146851,0.38344303573795113,0.3945317545748116,0.44686232610876103,0.4080482499505636,0.423911474621121,0.5181069750997525,0.4841867831261698,0.4892114175133044,0.5267967145790554,0.2817841684395862,1.0573340047478599,0.2573769777274114,0.1919808556358664,0.1531654590806509,0.5482754892420802,0.23834196891191708,0.6131386861313869,0.9914712153518124,0.9660194174757281,0.3108150634637575,0.7258621905635094,0.6619096509240245,0.5540312522925683,0.8631753111286958,0.4607069694460184,0.531304942371557,0.41572633329374037,0.7364039355606011,0.49078024992380365,0.7177615571776156,0.6298270552001896,0.8793070626308775,0.558323717612504,0.7556950419634672
Clay,1,0.49975804500362936,0.6251225890813991,0.7939589555833895,0.6387711281176017,0.6080080753701211,0.4013734117356799,0.6908135962739074,0.5356915991742099,0.6791596552954974,0.44466697478560063,0.6853722197004085,0.5945863515059092,0.5808118081180812,0.4101943705137511,0.37201699901928736,0.3440119472010791,0.5023399218190827,0.3570827725437416,0.38504872733253837,0.4734912298087405,0.40535175480387486,0.4881954005405129,0.17619267704000413,0.18145710394916023,0.5129241326725124,0.2699403917116094,0.9295325947410965,0.9470269742939369,0.9170438088341781,0.9228952486801889,0.9260852561595619,0.9327208480565371,0.920746178045146,0.9505609918540908,0.8616729877791826,0.81457514829366,0.8193785772690106,0.8564712028209482,0.8641251812469791,0.21539631971851075,0.29281498463489586,0.2143826937002172,0.21103084190052793,0.27986898709425106,0.23783274440518257,0.35217175340802476,0.2774219990778216,0.2562157606405394,0.15191433633772436,0.19754701553556828,0.1701057855557007,0.18728854519091348,0.5450611119037427,0.4950015832089384,0.4915254237288136,0.49286528379302486,0.4678515928515929,0.47921650042875846,0.4779735682819383,0.5193761610575884,0.47221119491861846,0.4373823215103557,0.5654874710465361,0.5429354597557936,0.5595355731225297,0.4837589765539544,0.40643235174379155,0.4146713299255672,0.43793024846136314,0.3868006993006993,0.37857110619668727,0.3870925110132159,0.4363848446882966,0.3979753870583565,0.4256780825403288,0.5409033480732786,0.4962870670321455,0.5288537549407115,0.5495456512332324,0.32020330368487926,1.0472458575906853,0.2690421559364736,0.1867376135736158,0.1597304548574281,0.5650894538606404,0.2442973360982613,0.6225712544851397,0.9906892538471486,0.9665057332528666,0.327524990440815,0.7343560145808019,0.6667027260926006,0.5648030495552733,0.8481862964621586,0.43465154991676785,0.5175442999849404,0.4060647657078679,0.7438794726930321,0.4847663104163344,0.7122740505043665,0.6445105392473814,0.8729631864815933,0.5428524608073414,0.7591130012150668
Clay,2,0.46326418356121324,0.4590441621294616,0.6413031886530873,0.3725526584392688,0.40561280420960316,0.33998468345813476,0.5597883135059483,0.39367861675126903,0.4691836910611154,0.6729435483870967,0.741391426563598,0.48160681148346246,0.6498387917868658,0.23683796951123684,0.14849768098406937,0.1255198890903274,0.1486035074696112,0.18263538697654022,0.3330496936691627,0.1442442267319804,0.30345812182741116,0.1423153176450306,0.13758064516129032,0.14869992972593113,0.32982207182621986,0.1471661293059562,0.848351442487823,0.9056218424164248,0.8157943635800559,0.8626040167678157,0.8691944964795556,0.9131716398614056,0.9097669311773219,0.8993457473578259,0.7910929165115991,0.8529289818160279,0.8260399783900595,0.8884570540225417,0.8885080749857195,0.1378793555638816,0.1218961625282167,0.1297615360792815,0.15128574109991866,0.18739099541373297,0.14629983968557686,0.14802615161950392,0.1622211038416373,0.1752263987098375,0.1754427530652135,0.16621645957140285,0.1658986175115207,0.16118813937788856,0.5108135942327497,0.5453573044801909,0.5385832834288647,0.5696177062374245,0.5658656696001094,0.5408898002002765,0.6557767637200662,0.5945051595767841,0.5614295404442937,0.53841618287373,0.5490387748452265,0.6442837050431988,0.6067245474649848,0.4241644040820148,0.4996503064960711,0.5066729403712893,0.5459255533199195,0.5400118553645525,0.4793762815316389,0.6741913338448491,0.574215178299299,0.540698660335764,0.5556966618287373,0.5344225666806312,0.6764315852923448,0.6025882545663035,0.21445998698763827,0.24724514092696162,1.1066983372921615,0.2802719776245358,0.3575452280359658,0.3016242526850431,0.3045372530035647,0.19602180279856815,0.4786216321749317,0.9993937924345296,0.936873949579832,0.4648197701873131,0.5871567530343461,0.6014557579700716,0.6042970264134226,0.9785273159144893,0.5509958046004726,0.6551836204094897,0.621025342574467,0.7042203934339657,0.6288236251220306,0.6488676298320969,0.3723933074684772,0.8453109243697479,0.7808122147017157,0.6878281828354997
