Class,View,B_G/B_N,B_G/B_a,B_G/B_b,B_G/B_c,B_G/B_d,B_G/B_e,B_G/B_f,B_G/B_g,B_G/B_h,B_G/B_i,B_G/B_j,B_G/B_k,B_G/B_l,B_R/B_N,B_R/B_a,B_R/B_b,B_R/B_c,B_R/B_d,B_R/B_e,B_R/B_f,B_R/B_g,B_R/B_h,B_R/B_i,B_R/B_j,B_R/B_k,B_R/B_l,G_B/G_N,G_B/G_a,G_B/G_b,G_B/G_c,G_B/G_d,G_B/G_e,G_B/G_f,G_B/G_g,G_B/G_h,G_B/G_i,G_B/G_j,G_B/G_k,G_B/G_l,G_R/G_N,G_R/G_a,G_R/G_b,G_R/G_c,G_R/G_d,G_R/G_e,G_R/G_f,G_R/G_g,G_R/G_h,G_R/G_i,G_R/G_j,G_R/G_k,G_R/G_l,R_B/R_N,R_B/R_a,R_B/R_b,R_B/R_c,R_B/R_d,R_B/R_e,R_B/R_f,R_B/R_g,R_B/R_h,R_B/R_i,R_B/R_j,R_B/R_k,R_B/R_l,R_G/R_N,R_G/R_a,R_G/R_b,R_G/R_c,R_G/R_d,R_G/R_e,R_G/R_f,R_G/R_g,R_G/R_h,R_G/R_i,R_G/R_j,R_G/R_k,R_G/R_l,UV_G/B_N,UV_G/B_a,UV_G/B_b,UV_G/B_c,UV_G/B_d,UV_G/B_e,UV_G/B_f,UV_G/B_g,UV_G/B_h,UV_G/B_i,UV_G/B_j,UV_G/B_k,UV_G/B_l,UV_R/B_N,UV_R/B_a,UV_R/B_b,UV_R/B_c,UV_R/B_d,UV_R/B_e,UV_R/B_f,UV_R/B_g,UV_R/B_h,UV_R/B_i,UV_R/B_j,UV_R/B_k,UV_R/B_l
PET,1,0.684487154343989,0.5294351157159303,0.7390248373201357,0.8137763116556708,0.6341845338472657,0.8111459968602825,0.6578570148718867,0.8114503217705227,0.638122667532046,0.6630591054313099,0.8883587400428611,0.5735311667130754,0.8469162125878544,0.40757011178662483,0.40689135008534794,0.229905599853359,0.21281024191014766,0.4002649963864129,0.43591051805337516,0.3749776025801827,0.47614189295244075,0.30650657147493104,0.19604632587859425,0.1545833164853827,0.32980627709932775,0.19185816947010978,0.897055596998552,0.9421946031613629,0.9202127659574468,0.9510543079466193,0.9034244112888729,0.9167359379329454,0.9154809334092203,0.9121840570317563,0.8415440204459328,0.8662182686049035,0.8706158459733148,0.907515450105882,0.9394283858395583,0.15375839220676643,0.2147891729574175,0.19827026149098587,0.27879691972745235,0.2596620528491821,0.2297496998245128,0.40670650730411684,0.3062216461438756,0.16735701066361153,0.1359513994358863,0.17445347472728062,0.1628419551406716,0.22840207859694706,0.6202043893449489,0.5735987646592379,0.5466026555944812,0.5655540101993509,0.5735992402659069,0.6011048357175248,0.5570652173913043,0.6354819397325883,0.5719692394411563,0.48119206725587416,0.5851243065543456,0.597403644573456,0.5498373657710645,0.6405595577148602,0.5742665164225199,0.5692660352060896,0.5902178952248494,0.5575412242078909,0.608690274972173,0.5581705969049373,0.6968668928357613,0.6238676168619398,0.5751778400517353,0.6262584754468873,0.6937187550395097,0.5523771331818385,0.5267471958584987,0.1986226453311728,1.1486810551558753,0.3427414406675666,0.2976831896551724,0.26177497156751245,0.3306868184427013,0.1327162914738411,0.6462440063931807,1.0028778097534417,1.0720908018205315,0.4126266991435531,0.7121079939391157,0.8382618244568202,0.6177435689690096,0.7733146815880629,0.47249151225099195,0.600933908045977,0.743833091493784,0.6346852879280657,0.6458545768295553,0.6474064028672446,0.032278136423738044,0.7658594145080633,0.6434352164689243,0.5796409385187566
PET,1,0.7067315236152518,0.5510204081632653,0.7649023285603184,0.8251698809851133,0.6614046391752578,0.8206769279095335,0.6758902044255244,0.8202189866959695,0.6526135529642013,0.6910026533729999,0.8971871575272963,0.5946936499083738,0.8595414406209163,0.3775302055546838,0.4016006402561024,0.25056040989981243,0.22137554499391177,0.389819587628866,0.46207004868855034,0.371868209835484,0.47710058474942113,0.31607273913398026,0.20209857682720914,0.16028737265089094,0.32224523942315353,0.19763988437017382,0.8984972202918693,0.9511563830675461,0.9455328050203146,0.9557757370710489,0.9104066773219677,0.9167463243661523,0.9213110155227231,0.9288036262075913,0.8556674075042489,0.8873044680667186,0.886192902167343,0.9194074710176041,0.9477693585639613,0.12804030576789438,0.3050847457627119,0.3218552636871958,0.3018366360560657,0.2832978156632925,0.22964176794574173,0.40971572844585746,0.33185293713657804,0.17906480149910664,0.14523377409039842,0.1849581210603575,0.1832975525976814,0.28388508448478467,0.6286096928099104,0.6007916789489198,0.5775442525517894,0.5875449210753764,0.5948308789203413,0.608953635880018,0.5760391641358052,0.6581802169648933,0.5829715388326098,0.5068122837370241,0.601737841288144,0.6161660955452529,0.5749384669479606,0.668159370553277,0.6247526003284626,0.6178560661527198,0.6338534321976073,0.5801468403853499,0.6391128207226746,0.5846516477040931,0.7206276770345463,0.6512301013024602,0.6068879757785467,0.6627681917390766,0.7161862527716186,0.5795534458509143,0.5404801129677571,0.2430723757132887,1.1310035267714011,0.3721130927919783,0.33373857445179883,0.28302997018672527,0.34930100694104993,0.13350877882084922,0.6827754047879209,1.003463476070529,1.0711023058719937,0.43740916768137006,0.7348541862652869,0.8531419157448812,0.6214130300915472,0.801538954793203,0.4931371743239911,0.6153361249943716,0.7451357288561117,0.6399941343239808,0.6131427000274952,0.6646468659978146,0.06501889168765743,0.7684222112156732,0.6450763973447503,0.5976481655691439
PET,1,0.6823423282083464,0.5290935320990623,0.771772345301757,0.804546703836036,0.6453707837804927,0.7984934086629002,0.6817810086324398,0.7969797999607766,0.6335001230415881,0.6955780241198685,0.8887942917376145,0.5910090789105308,0.8370546318289787,0.3789221838719799,0.4113568966899095,0.2924942704354469,0.2285916211865405,0.41161667410804886,0.49431104833647205,0.3930940481599273,0.49950970778584036,0.31584775654171116,0.2220733341454501,0.18328873753344685,0.33799944006719196,0.20285035629453682,0.8817957529297736,0.9464628748016369,0.9410463666706881,0.9509306260575295,0.9102419172507348,0.9140872924619418,0.9052891697951813,0.9192081074711288,0.8566851022737249,0.8969620910507183,0.8882921124442327,0.908600982224347,0.9357398665147323,0.11613358005110583,0.2613380105236783,0.262798085816544,0.2788252356780275,0.313768935111915,0.2641769764981833,0.4407641495984413,0.3903841621494225,0.18856992362391362,0.17167214817379262,0.21938753411010525,0.18023382154808987,0.23221552987139835,0.6199577167019028,0.6118332207967588,0.5721080498967962,0.5921401515151515,0.5864921649304036,0.5995181923907626,0.5893084429359355,0.6501904189216277,0.6005002824174938,0.5786452353616534,0.6045866622511074,0.6101113621691414,0.5674496040316774,0.6430443974630021,0.6142808912896691,0.6232612402405098,0.6431344696969697,0.5825965158014532,0.6041285927894999,0.5913826427190874,0.7088394467829224,0.6469377874606632,0.652452025586354,0.656745456803411,0.6902033570045191,0.572264218862491,0.49256833601317696,0.21703089675960813,1.133689473323745,0.3498756166462875,0.32968122786304604,0.20620538165842944,0.3563934766801704,0.10274188465174912,0.6701484047779099,1.0020882840066248,1.06953125,0.3806187514760293,0.7150284242748165,0.8352484411153378,0.5915180440425353,0.8089171974522293,0.45313488215204284,0.596694214876033,0.6908684396328548,0.623039368442921,0.5625984872360542,0.661047623972284,0.18729747245625405,0.7717075892857143,0.6032826891285523,0.5862688887809144
PET,1,0.6988859249960773,0.5946222993218735,0.746714179933358,0.8174176061594061,0.6707794282063568,0.820936530988735,0.6697787610619469,0.8161343482696382,0.6731140421425124,0.6973794423836305,0.8977479480855536,0.5948021969274855,0.8522552385462294,0.3495998744704221,0.3304683803816433,0.2394483524620511,0.2116903012923754,0.3605254751637119,0.43027044000471015,0.34008849557522125,0.4726124146590285,0.2845825961074473,0.18599178333532768,0.15263008935430397,0.3187534824484598,0.19146837141391423,0.9022911343063797,0.9501436961139573,0.9458589759060375,0.9516050975963866,0.9210188829434397,0.9093984275004572,0.9234814987200373,0.9177479253587638,0.8686807479224377,0.8989860094981389,0.9003052319332788,0.9159671063902691,0.943839401820546,0.13915717441205772,0.2603606980715565,0.26479224488154135,0.30488788514276494,0.27939680714633175,0.21137319436825747,0.4026995578310449,0.3085140525422952,0.17252423822714683,0.13053523296110897,0.18657839301835688,0.18027240020558508,0.2743010403120936,0.6178110694964628,0.5995273435880426,0.5779840388619014,0.5881774782364505,0.5982305490502211,0.6033861820590305,0.5947092941010044,0.652851193336537,0.607210245292866,0.5111372733694373,0.6009549512144489,0.6096775508540214,0.5787018525922963,0.6594673325010403,0.6134168083253866,0.5972848716169327,0.6097538144715904,0.5862607338017174,0.6300451214968745,0.5930117414061395,0.7064712477975332,0.6581155405676663,0.5841299740993643,0.6578368279011834,0.681138151726387,0.5800346528055444,0.5291602933678472,0.21009009009009008,1.137103957246469,0.3530990727183992,0.3039534782797379,0.2723244048786227,0.3303004043905257,0.163476623784123,0.6415277328776613,1.0030597014925373,1.0544983147523983,0.43225325592342695,0.7077141808842414,0.84696238773189,0.6481281281281281,0.753403740933961,0.49861721164795836,0.6105975784403072,0.7637162241656535,0.6342191411515502,0.6598289927831816,0.6506719623146907,0.0635820895522388,0.7415607985480943,0.6628353993409697,0.5833791964777105
PET,1,0.7028670039612503,0.5880757726819542,0.7753490339867438,0.8137258755552063,0.6797932065107638,0.8180677048601577,0.6797430289775834,0.8079428616278157,0.6784929611847994,0.693449746519675,0.8985318638415553,0.6116184575773425,0.8600514953456131,0.3751813938894772,0.39952143569292126,0.2865134207681098,0.26248968200935496,0.4088614241285997,0.48766328011611026,0.41138144705667945,0.5363001334275175,0.31817072178370903,0.2105496097207693,0.19813737850258245,0.3621917367341192,0.22820360467419293,0.9007477610642552,0.9595661569148937,0.9529227305620326,0.9587239007120731,0.9322273208612779,0.9186962426437302,0.93347260909935,0.9359893392151456,0.8740058782849239,0.9000857265323617,0.9034455992065203,0.9305865203224147,0.9508216676810713,0.13724893487522824,0.33872174202127664,0.32206319852054355,0.3454560083678642,0.33745146487822103,0.25255771842462654,0.48351903435468896,0.37877952394081427,0.20725276625172892,0.14714959279897127,0.23153219198758032,0.214714457211456,0.3473726922296612,0.6509838922181138,0.6375891121192482,0.6047078641723557,0.6098011570810443,0.6220239390642002,0.6306844281120808,0.6145670225385529,0.655329805711516,0.6135475996745321,0.5433462175593594,0.6192349543818533,0.6252808759243371,0.6022879017181519,0.6882145437545157,0.6543097861309138,0.6339214469367851,0.6374641450726822,0.6166702937976061,0.6580782561489957,0.6334519572953736,0.7250878539402997,0.6668429617575264,0.6363636363636364,0.6643508830668787,0.6939167381623564,0.6196474672838957,0.5096670457665007,0.20557278067885118,1.131584,0.3519636213311286,0.3140484859248735,0.24197027334405272,0.33577509404078404,0.11433614434202785,0.6488839715220319,1.0039190071848467,1.06368148695744,0.4218007617701339,0.7266907876426384,0.8477979528608965,0.6101093342036554,0.769216,0.4816866473749483,0.6017227599680313,0.7375583356210047,0.6269550584042765,0.6192194547950579,0.6523956128535694,0.1440598011466725,0.7317034533741683,0.6376879883771155,0.6097040541794229
PET,1,0.7190478057963057,0.5700822618001757,0.7783199886293647,0.8152733561293872,0.675211256216391,0.809809691975672,0.6834411148556334,0.8080348385578093,0.6659459018399901,0.7103086544280816,0.8989640463132236,0.5937324677406428,0.8553777918580706,0.36617122240087846,0.37784522003034904,0.2767328374472924,0.25150336045277677,0.4026604132131161,0.4901706886403767,0.3718007104472174,0.5270116520852133,0.30272122720411243,0.21851926568489005,0.18813731464554134,0.3312494990783041,0.2128148265483922,0.897372528616025,0.9544944053907908,0.9475060337892197,0.9552635821376754,0.9229099286695317,0.9209423129499681,0.9217923740606735,0.9290278411684163,0.8640861339959025,0.9052083781342738,0.9051920677936939,0.9258219207672701,0.9431333522888826,0.12395941727367327,0.3075163262759453,0.3002815768302494,0.3462437530227309,0.3597979708475477,0.24223093046568847,0.46066425456906945,0.37421268827019627,0.19476047251645526,0.16704657864177888,0.22979309158170946,0.20978960556443602,0.29383809253015963,0.6363981762917933,0.6248400034132605,0.6177587424938185,0.6178331735378715,0.6288600160185103,0.6227348993288591,0.6205625147719215,0.6590826722506341,0.6144963941333765,0.561528432454117,0.6231792805272216,0.6211444722074304,0.6004558048082939,0.6927980412022966,0.6375970645959553,0.6395266690215472,0.6556567593480346,0.6548011034973747,0.648531879194631,0.6393760340345072,0.722707687351508,0.66141317559355,0.6474275398656104,0.6715359106745582,0.6966370376438783,0.6224863705424971,0.5000980430605122,0.20359968840965928,1.136511089043363,0.34811739559355476,0.3174747154065944,0.1996470588235294,0.34100762445806554,0.10901236991949735,0.6482424361108391,1.0058321183086858,1.0532307367977232,0.3915298184961106,0.7083430273137592,0.8437193615435898,0.6065761961379197,0.8009268454154254,0.49691713252219666,0.6083269082498072,0.7084705882352941,0.6283450441022574,0.5927743962301197,0.6461372760207579,0.2223147955287093,0.7441762411721302,0.6398208533039994,0.5895025824763854
PET,1,0.7104200164712342,0.5874462461040755,0.7214858977298784,0.8201837023080546,0.6771401470239506,0.8397234443746071,0.6455933682373474,0.8330455259026687,0.65771195912502,0.6606652061342362,0.8918057907895799,0.5946415183679911,0.8636005048911328,0.3252676575551982,0.3253639483962599,0.1901857372162348,0.19135657089024966,0.311240218164572,0.3657683846637335,0.3068062827225131,0.42868916797488227,0.2556282931502475,0.17263493328022306,0.1473102669570127,0.2925857238685239,0.16913852950457559,0.9003532655523006,0.953964300539643,0.9441630487216595,0.9532321846501493,0.9258245339590666,0.9096721902017291,0.9239165182445084,0.9095559277533838,0.8592980161325486,0.8927014785061106,0.891205295735901,0.9236647739401443,0.9438074327071644,0.129372738238842,0.23478621834786217,0.24264351181862037,0.27774190945040755,0.2239603702255247,0.17173991354466858,0.36100835730922043,0.2617808157168077,0.13852190974493134,0.11742586103751816,0.15272524071526825,0.16479528668402854,0.28218264617386357,0.6243906469470378,0.6133957568855709,0.5809094455763145,0.5850664690351568,0.6167148198504419,0.6098331078033379,0.5850929350625029,0.642777065983344,0.6095747246563229,0.5115422282329898,0.6034180908711962,0.5980655124766316,0.5812385039852851,0.6670660166900768,0.6268927411531485,0.6092591789847849,0.6149427949418685,0.6061352821210061,0.6349284454832492,0.5831265508684863,0.7101617552850737,0.6442640083608007,0.578650375413888,0.6453105460608587,0.6617898073640576,0.5890338968205308,0.5086081807129691,0.18938871536932625,1.1436404890961804,0.3375734251569779,0.2901651173649136,0.2711977409992941,0.30789286560796403,0.15858633403938183,0.6144844743388924,0.9994169521171925,1.059153894604241,0.44448366474487194,0.6954726970879885,0.856151221616534,0.6060925647994159,0.76522122778268,0.5215718047397205,0.6102551042064605,0.7811593066122834,0.6252192462668879,0.6750215737036166,0.6300562056574218,0.18387872604037606,0.703810623556582,0.6842765815586147,0.589985193161933
PET,1,0.6792815404525667,0.5875697274201844,0.7339000759878419,0.809342492639843,0.6656039532937473,0.8139835994820889,0.667206988157954,0.81649468356417,0.6567248397888034,0.6731122652816619,0.8931968108786271,0.5796127698485269,0.8589398734177214,0.35354327620691006,0.34323693476282785,0.2266812310030395,0.21275760549558392,0.36061849918303907,0.4527013771726762,0.34031248592912783,0.48436457802016714,0.29410342186933214,0.19025169796244504,0.16641709498563276,0.3129248996143601,0.21404272151898732,0.8910791993037424,0.9552629392705824,0.9475738311740565,0.9507335407994181,0.9250611033519552,0.9114148201961496,0.929643398044885,0.925440620097813,0.8352540244832071,0.8870592292439003,0.8881911739054597,0.9204604019927847,0.9464394400486915,0.13137510879025238,0.2694192905208939,0.24470910115072023,0.275593097037546,0.27618715083798884,0.21612786051580093,0.4240212951489284,0.2756297868413768,0.14344648222052822,0.13251142339856883,0.17194313622885052,0.18476206837313178,0.3011564211807669,0.6286919831223629,0.6204126970564361,0.5940068947228853,0.5918436621084279,0.6320535944344241,0.6134503169472314,0.605599923025113,0.6608234158893536,0.5971930108396699,0.5337113451184067,0.6124299924768035,0.6124487174174298,0.5967871128515486,0.6682700421940928,0.6370743794591361,0.6204366657827278,0.6317040054310931,0.6242806836725929,0.642080517190714,0.6326373520638892,0.7130106143454488,0.6477511729493609,0.6172868918854529,0.6570676251776311,0.6821930297128176,0.6008365966536134,0.49209772932271856,0.17900088774110243,1.1360773875219115,0.3399042983927038,0.29396049577366096,0.2375387270089023,0.3333996518279035,0.12029662180719583,0.6276304614513543,1.002150075252634,1.0541673214940541,0.4000235515779557,0.7068364548961287,0.8534844503706027,0.6171011217819385,0.7666039083295462,0.5009202077624637,0.599702185433364,0.7464214282913055,0.6258144740114399,0.6265939498567897,0.637774841936397,0.20275209632337132,0.720938760542721,0.6445674360182133,0.590695728958498
PET,1,0.731377240811203,0.6064607963307105,0.7317039744175422,0.8225793775542283,0.6933492158030574,0.8395211930926216,0.6546038358066476,0.838488107386765,0.6609144778987829,0.674342236994914,0.9030020283975659,0.6061110450600404,0.8652045050385299,0.3076530812379869,0.3226048792060417,0.20607583371402466,0.216480666457089,0.33885249156243796,0.4282574568288854,0.3345482947149179,0.45356778397048436,0.2741832158872518,0.1915421889391694,0.1720081135902637,0.29885467443427255,0.1913455838767042,0.8999270793119719,0.9589745717011657,0.9466462801271477,0.962356067316209,0.9301894119169867,0.913107841378073,0.928380035423952,0.9114637806375335,0.8450436931768028,0.9007262881945937,0.9107439424264361,0.9320239765336055,0.911066948205192,0.11354180071204907,0.28025054963288676,0.2958596547700479,0.38352524357838796,0.28342753591923026,0.19863628207428677,0.3915709160270675,0.23223136737756356,0.13394827434018888,0.13962783101981177,0.19541796192990674,0.17782595757343878,0.25102471742640664,0.6357976007637707,0.6239805947053656,0.6024807782167283,0.6039330922242315,0.6391752577319588,0.621798837065446,0.6169541150098358,0.6542071003554171,0.6189078333601415,0.5443756690091683,0.6202918923388597,0.6052610180517157,0.5986283754822117,0.6908389024947076,0.645686085901886,0.6203644704982796,0.6133815551537071,0.6389657195541028,0.66048084457091,0.6213458987144883,0.728804760193283,0.6801109860061122,0.6159538325499139,0.6775540579650225,0.6949097414213693,0.6111873124732105,0.48043137254901963,0.19091804894071276,1.1257135358572272,0.3238805970149254,0.25048426671258234,0.18290196078431373,0.3096393377019659,0.09691854759568205,0.6262437810945274,1.0017914725904693,1.0374389303162768,0.39384542921066057,0.6762167125803489,0.8686666666666666,0.6013713253407784,0.7966668853749754,0.49150082918739635,0.6046661788127933,0.719843137254902,0.6155770096543445,0.593954857703631,0.633467278989667,0.2956646363310641,0.7500642838776035,0.6612238489618087,0.5885215794306703
PET,2,0.7000666692811482,0.7840044169262926,0.8990000401590299,0.7478412421769786,0.6606001779503358,0.6198227172889865,0.7843570481661511,0.793621528322611,0.6038858218855652,0.7131962192203156,0.8240606936416185,0.6691057232132261,0.7912644983372537,0.4339778030511,0.3411681192570099,0.168025380506807,0.2975916976946843,0.43585699263932703,0.4806244116724192,0.27646326276463257,0.49737172446257655,0.3512646039286173,0.24084215650480711,0.27813403179190754,0.34564727287109914,0.23469056695595747,0.9149498827042013,0.9455535390199638,0.9441475469120424,0.9231728825224761,0.9348513598987982,0.9324662979605945,0.9215730847919982,0.9204194661340113,0.9362575452716297,0.9382736090256077,0.866384604886038,0.9068666140489344,0.9460646096833965,0.1489443378119002,0.3203266787658802,0.35038373447984894,0.18217404396266185,0.3806029938857263,0.20566885585896993,0.35839963628097293,0.29780279644089336,0.30329979879275654,0.2857026906375553,0.24234566216277695,0.18828378496886783,0.3048416982196085,0.6170631596582343,0.6741000318572794,0.614775836665965,0.6066954372145641,0.6153032153032154,0.619899755602502,0.6236196075315802,0.6416235925792363,0.5669654074880643,0.560592658115878,0.6479955412237749,0.6112301227650985,0.657485456488187,0.6331043725917239,0.7418365721567378,0.6894127552094296,0.6745296853395903,0.6932030932030933,0.6606188641729837,0.7211805831413364,0.7097808230155868,0.6141217857441996,0.6930119416187528,0.7354592141406904,0.6870313916124249,0.735604891368871,0.4260167065375112,0.23088828249093796,1.1437368335764058,0.4466790469793354,0.40072586689810247,0.3173725490196079,0.36887848905231485,0.46380392156862743,0.6816786621507197,1.0102378021123566,1.0559021712003993,0.376248174606307,0.7629226411754292,0.8028942311463194,0.6458681220217489,0.8521309350186356,0.5834683314236042,0.7190816205767485,0.7932549019607843,0.6551897041617917,0.9209803921568627,0.6749576629974597,0.37782673491868074,0.7876216620913401,0.5924142558313928,0.6089573375818729
