Class,View,B_G/B_N,B_G/B_a,B_G/B_b,B_G/B_c,B_G/B_d,B_G/B_e,B_G/B_f,B_G/B_g,B_G/B_h,B_G/B_i,B_G/B_j,B_G/B_k,B_G/B_l,B_R/B_N,B_R/B_a,B_R/B_b,B_R/B_c,B_R/B_d,B_R/B_e,B_R/B_f,B_R/B_g,B_R/B_h,B_R/B_i,B_R/B_j,B_R/B_k,B_R/B_l,G_B/G_N,G_B/G_a,G_B/G_b,G_B/G_c,G_B/G_d,G_B/G_e,G_B/G_f,G_B/G_g,G_B/G_h,G_B/G_i,G_B/G_j,G_B/G_k,G_B/G_l,G_R/G_N,G_R/G_a,G_R/G_b,G_R/G_c,G_R/G_d,G_R/G_e,G_R/G_f,G_R/G_g,G_R/G_h,G_R/G_i,G_R/G_j,G_R/G_k,G_R/G_l,R_B/R_N,R_B/R_a,R_B/R_b,R_B/R_c,R_B/R_d,R_B/R_e,R_B/R_f,R_B/R_g,R_B/R_h,R_B/R_i,R_B/R_j,R_B/R_k,R_B/R_l,R_G/R_N,R_G/R_a,R_G/R_b,R_G/R_c,R_G/R_d,R_G/R_e,R_G/R_f,R_G/R_g,R_G/R_h,R_G/R_i,R_G/R_j,R_G/R_k,R_G/R_l,UV_G/B_N,UV_G/B_a,UV_G/B_b,UV_G/B_c,UV_G/B_d,UV_G/B_e,UV_G/B_f,UV_G/B_g,UV_G/B_h,UV_G/B_i,UV_G/B_j,UV_G/B_k,UV_G/B_l,UV_R/B_N,UV_R/B_a,UV_R/B_b,UV_R/B_c,UV_R/B_d,UV_R/B_e,UV_R/B_f,UV_R/B_g,UV_R/B_h,UV_R/B_i,UV_R/B_j,UV_R/B_k,UV_R/B_l
PVC,1,0.8457311089303238,0.7289565592748106,0.8334561834561836,0.7749911691981632,0.8062097660543256,0.8162304281285563,0.8404100137985412,0.8355679628828686,0.6970540293404366,0.7628404134082604,0.8897055886230175,0.8553619882810963,0.8236058089653273,0.40847890088321887,0.3103245300788761,0.1968877968877969,0.22171199811609563,0.22181661171298478,0.41341286347761247,0.207056968263355,0.42000550465930087,0.2871228084125154,0.16159075726018785,0.1406543362761155,0.1799520232805065,0.14187886182061474,0.9508143322475571,0.9314510946403325,0.8750053673408047,0.946697659506252,0.9321829019215538,0.9364683381148393,0.9245004344048654,0.9474224686794004,0.9310662132426486,0.9327109602327837,0.938640730067243,0.9537625019844419,0.9356547763487827,0.25362377850162865,0.15963326335632577,0.12241830907295291,0.20250881692850273,0.20586886749197617,0.13720843208182612,0.2562554300608167,0.21663585951940853,0.24296859371874374,0.13833656644034917,0.2600064040986231,0.26940784251468486,0.15865890156110976,0.6680216267413869,0.6402222747694489,0.6595727910459526,0.6042362104593865,0.6556613087950713,0.562721613742022,0.6268027425329025,0.5909090909090909,0.659355804063632,0.503293754066363,0.6128396230135258,0.5967844382691545,0.5784215784215784,0.7434784324558981,0.7139591708047608,0.7538819263813352,0.704339532665713,0.757000118478733,0.5821842250413679,0.748049491685712,0.6674393022707629,0.7381477398015436,0.5844583604424203,0.700500808391498,0.6635966653433902,0.6029570429570429,0.365223189770142,0.12385175799809947,1.1467210077806596,0.4821106316202432,0.3394506228632059,0.4817835993568375,0.3077793739932959,0.36997529314875094,0.6739341870643542,0.9994587442867452,1.044495793340443,0.5590680891120176,0.6551370501584933,0.7790852749666588,0.6027478618942033,0.6656539459058911,0.629266378972146,0.7181200141470507,0.8846621436134751,0.6472944146967916,0.8459547433232676,0.6860512238612417,0.10337984123165746,0.6917881265552791,0.7384295575776593,0.5247529367891105
PVC,1,0.8523455625024576,0.7577293262620309,0.8474242050776436,0.7623311341501728,0.81086282056317,0.807360326428123,0.838368281799155,0.8466685032862371,0.7007182761372706,0.7580810066850177,0.902590135102726,0.868416890716432,0.8332610666561551,0.40399512406118515,0.29090551954429383,0.20195546791553692,0.24367734841344643,0.2417625574362801,0.4305163214061519,0.23046242546301782,0.43775827462710065,0.30291300877893057,0.17939441604404247,0.13686145974898073,0.1821524592756603,0.16125980527415348,0.9544494108086143,0.9405646359583952,0.8856567560620341,0.9502519395345117,0.9405128632087254,0.9370734143499251,0.9289974315441208,0.9539102721255209,0.9344177124130765,0.932489280802524,0.9436084207156007,0.9581925843500378,0.9391968325791855,0.28553433563592034,0.20717469751645085,0.1289092622740125,0.19907222266656002,0.23819831820830906,0.15153154652904943,0.28387967437203426,0.2545967148810983,0.26684517624490445,0.1506755116899927,0.284359241175058,0.3258752930890593,0.18273270846800257,0.676828786081455,0.6600102608627019,0.6795170263978219,0.6050584433717636,0.6702593864740022,0.5534274590002752,0.6448074494949495,0.5868454159459034,0.662557113596975,0.5045803721809144,0.6213335438790414,0.5920285544318857,0.5664584834654496,0.7603005140371688,0.7286791112514306,0.7682989385629168,0.7008417441257431,0.7683682735204707,0.5658551932984622,0.7522095959595959,0.6784871835194213,0.7451551914290216,0.591299346834819,0.7116971299988156,0.6837200079317867,0.6022499799823845,0.3615076874803891,0.10811454899312864,1.1427738927738926,0.4429932933286269,0.3534995470479342,0.4554296246911643,0.2955392839495081,0.3898497862493627,0.6806948862246146,1.0029034318564543,1.0423388237957776,0.601431605443247,0.6555099757598359,0.7863586444932539,0.5954641140723675,0.6867715617715617,0.6189355610463976,0.7059750285556738,0.8850543158555237,0.6199631642783342,0.8677099266580383,0.6834271266617731,0.1627083212357006,0.7045338767193072,0.7476598757177693,0.5277363415998507
PVC,1,0.8534774066797642,0.7473494070525406,0.841669060025438,0.7605871502021272,0.8024734982332156,0.7896264908976773,0.8440692674845174,0.8415416715877327,0.686845680492288,0.7535211267605634,0.9011595361855258,0.8755762184311099,0.8182319354203583,0.38601178781925344,0.3042488023246682,0.20600664669921637,0.23376113662231643,0.23608166470357286,0.425376647834275,0.21971519861149463,0.41557418999252,0.29797011108447213,0.1761350224250531,0.1445421831267493,0.22611402230014577,0.17121480606418585,0.9528700170496062,0.9439549267135474,0.9151254540141109,0.9520993967480325,0.9411520239381598,0.9371476299853833,0.9308326105810929,0.9530124426981009,0.9383662871979229,0.9376412657410398,0.9479824210946863,0.9647823158895534,0.9384404372907338,0.2550133961191849,0.21680928577480302,0.15856051434058363,0.19403939115496785,0.21166154101903414,0.1365629567759449,0.2839982653946227,0.23068107400130977,0.26143399241062515,0.12835001614465613,0.2805833000399521,0.3415204215029909,0.14449957642502723,0.6745972051779422,0.6608138569225294,0.6764601490712624,0.6029704547264475,0.6599321284823614,0.5324818235409707,0.6596433080808081,0.5899523978126598,0.6576200417536534,0.5080014886490509,0.6181502113705504,0.6091194843432937,0.5604092562247712,0.7626380586675111,0.7367817455609602,0.7688212327956777,0.7005256032491838,0.7654881224844133,0.5250540381214384,0.7687815656565656,0.6892482001652307,0.7521960058297554,0.5806144812471571,0.7069653510331476,0.6808180479847213,0.5743975060948803,0.32542452645201775,0.10735618360392865,1.1337183798800994,0.4196635162163222,0.31679119150609514,0.3743137254901961,0.3125518003499401,0.34252323620534136,0.6657897981832381,1.0009545400310225,1.0435106200263355,0.6064541519086973,0.660614321179964,0.7719126240244716,0.5780316696732812,0.690451820441585,0.6154358994470371,0.6815178922532442,0.867843137254902,0.620821438438162,0.8581120828267775,0.6733527888528094,0.22157260470110965,0.7059025591114674,0.738646202282566,0.5272355546901621
PVC,1,0.8492709193098299,0.738999018645731,0.8416216884347576,0.7862835158795588,0.8000156973549958,0.8246743054465546,0.8413689535251344,0.8417848305118033,0.7064073956008926,0.7683373361155951,0.8950572778979412,0.8657945545529768,0.8241979400970759,0.4284085996148253,0.3213738959764475,0.22495982860203534,0.2470851489812743,0.26261674907778043,0.4490268403704285,0.2352197281062283,0.4476216662084135,0.29857347784507493,0.1963069412181582,0.15485059681166385,0.2421687221718744,0.19888717888007576,0.9527994791666667,0.9455156855233473,0.9145385163752254,0.9472165444270771,0.9397449787482292,0.9404781739420193,0.9364809486441713,0.9554708942689771,0.9295735241216675,0.9323804510669312,0.9398694903719125,0.9616390584132519,0.9375607385811466,0.3099365234375,0.22019324905290935,0.18861911351532687,0.22439982365436256,0.25393782815234606,0.15703098967010998,0.2940099398378237,0.25554053500471097,0.25480634717614614,0.15414827711867837,0.2640217782937668,0.32555282555282555,0.18395691609977324,0.6781864299302474,0.652842146959794,0.6868045142451268,0.6151079136690648,0.6770821004458122,0.570333491386123,0.6632673228190837,0.5921093995598868,0.662843855915504,0.5209735675586932,0.6236168194751819,0.6130549135251455,0.5739895829127468,0.749643310082435,0.7218062982768866,0.7555046957619762,0.7080735411670663,0.750581922910009,0.6053816974869607,0.7516107356021977,0.6649245520276643,0.7372507290927721,0.6170169101953703,0.7031299399304457,0.7051087909460428,0.6151734162393508,0.321698890152555,0.11408320986665599,1.124869849769448,0.4572694826842374,0.3111391109186124,0.48299933330718847,0.3061410712656264,0.3500529432526766,0.675767498976668,0.9952589783098257,1.047999032765083,0.5734959604674876,0.666296912553152,0.7703831522804816,0.5814279421775518,0.6953740889483861,0.6059536416048947,0.6619285742410521,0.8957606180634534,0.6129208869422392,0.8471312600494136,0.6812116250511665,0.22863577100865234,0.7094063595695805,0.7555494548592047,0.5002310963209465
PVC,1,0.8469423824673028,0.7430042446156265,0.8454496499730748,0.7750324075892683,0.8006597549481621,0.8126692570352055,0.8414609990888563,0.8364829293207088,0.7174626029917606,0.7687731463241667,0.899199038846616,0.8649775749468881,0.8221686175260994,0.494481756411767,0.3401980820625688,0.24675862640321444,0.2679420198766547,0.29952089224002515,0.4724282742650811,0.2744919383591491,0.4834007779043728,0.3237341012718982,0.20447561263887795,0.18061674008810574,0.278975529152569,0.23517083201518507,0.9565694766377942,0.9462370168568023,0.9156171284634761,0.9529425875579721,0.9435470441298918,0.9456666113232609,0.9392431583082361,0.9572856089769841,0.9454226055016569,0.9386954587731005,0.9521886867879272,0.966847546243118,0.9366647768688751,0.3554959131389533,0.2695811340030649,0.22963895885810245,0.2538781384935231,0.3119900083263947,0.17815042337705464,0.35314914233337696,0.2928577279056434,0.3047470754980636,0.17873751465890253,0.33347991205276833,0.3501406107656355,0.21025350287519237,0.6949253494282084,0.6733795837462835,0.7011553172193525,0.6303824873707,0.686524710623,0.5633458275794042,0.6813802905874922,0.5980018093852024,0.6775706459622433,0.5304634397528322,0.6391858715451018,0.6300335570469799,0.5774693481163761,0.7625079415501906,0.7265014866204162,0.7588423169433381,0.7109293561061664,0.7589380950499743,0.5799960544486092,0.762081490840177,0.6907918026983441,0.7447286485634337,0.629989701338826,0.7231725667221034,0.7098114413550656,0.6075749605470805,0.3406015922193027,0.1130928416136565,1.1140915335116768,0.4428016784971959,0.33303153170885325,0.4374681360053335,0.31721523668639057,0.3405098039215686,0.6831614559980433,0.9992398994328481,1.0510759044691418,0.5967514124293786,0.6796161729085151,0.770540021177301,0.5702955149367904,0.7162894946135492,0.6113180909055257,0.6792898476557887,0.8856425742185968,0.6186205621301775,0.8399607843137255,0.7033383605755513,0.2713559024732503,0.7193189879404115,0.7442718141870684,0.524222098006335
PVC,1,0.8463172804532578,0.7327518466132327,0.8522609738943362,0.7696384407019198,0.7940864648368476,0.8030825947133109,0.8447654858499901,0.8378112970382591,0.7065678814577494,0.76385276267045,0.9005011024253358,0.8731002441137098,0.8212248455078435,0.420561850802644,0.34217350306459215,0.23524057755161143,0.24520080084795667,0.2891192523658067,0.4499568593615186,0.26127053235701564,0.4892764553382041,0.310452543051662,0.20122960510759044,0.17634796552415316,0.26265847704543666,0.242077325305023,0.9554075457905211,0.9494198155310919,0.9218998244000334,0.9519395949023212,0.9446340854216967,0.9443289539331448,0.9351287852419075,0.9570680199721698,0.9469294920394238,0.9357582631237849,0.9461618340123014,0.9669846799414117,0.9365079365079365,0.3067051131056329,0.26935010838610957,0.21494272096329123,0.22524070153010267,0.2804512530180668,0.17320804922667551,0.33514618865297596,0.29237947122861585,0.31231794421611264,0.18725696694750485,0.28480709321830816,0.344523178021456,0.2128684807256236,0.693645060135752,0.6553965674422292,0.7078882012062917,0.6080166579906299,0.6767338248629894,0.5614214797888267,0.683545303736472,0.596482945827924,0.6736680327868853,0.5267306088407006,0.6359998415151156,0.6280592486126083,0.5572108926608865,0.7593379113245743,0.7297158032423006,0.769070051641897,0.7035598446322028,0.7608327090643852,0.5736742573477268,0.7578797693340705,0.6846453440339904,0.7598518284993695,0.635279399499583,0.7182138753516384,0.7197269134028028,0.5969389831888307,0.3113429557577659,0.12512372154404489,1.114084826491268,0.4025648064629986,0.3218109271915616,0.39925490196078434,0.32551064754454584,0.3362092631083572,0.6795691825197046,0.9998825187969924,1.0442216981132075,0.6048010057753507,0.6823770491803279,0.7485880138060873,0.5446222368855164,0.6934301050880773,0.5939448605827679,0.6654288310354364,0.8758823529411764,0.6097831860543725,0.851562806384564,0.6905872157801345,0.30304276315789475,0.7259433962264151,0.7552744273759479,0.5295667447306792
PVC,1,0.8559544830292328,0.7528367819702384,0.8513801294127282,0.8005730434100008,0.8150445604805464,0.8421238938053098,0.846651671204767,0.8525411031818002,0.7209735600745233,0.786780635758459,0.8943102415651827,0.863072500295357,0.8305292259083729,0.40647439670394353,0.28607326553849777,0.19669915636006224,0.22219169479550985,0.22692473793726198,0.4137659783677483,0.21569788090446312,0.44754169459448806,0.2696713838347802,0.1925394887146965,0.14873228189259333,0.20950655692513687,0.20063191153238547,0.9498454279205987,0.9443432589266805,0.9168896321070235,0.9323806063542045,0.9413793103448277,0.9484173019555849,0.926722645429363,0.9531493160783029,0.9326969356650088,0.9292330191745207,0.8584117456197274,0.9199379548979836,0.9170587994598798,0.3013342011064107,0.20890338430259647,0.16730769230769232,0.18057405837471235,0.2385126713751558,0.1720251905866755,0.28527527700831024,0.25706446064378735,0.2605888015401893,0.17850178745531362,0.1061404931862427,0.15881159766137692,0.14509595318957405,0.7090535142190405,0.6574810943500812,0.6876726383079473,0.617062937062937,0.6652187648080872,0.5783399209486165,0.6797220467466835,0.595875314861461,0.671809035312685,0.5117887721962124,0.6385137803048251,0.632943143812709,0.5682102123886673,0.761934896966341,0.718889812725185,0.7558598374240392,0.7146053946053946,0.7521323645553625,0.6245849802371541,0.7496051800379028,0.690727329974811,0.7426316827776682,0.6041165802016112,0.7101397773039564,0.703416149068323,0.5956555031636642,0.30499235264128005,0.11453444056645404,1.1049667178699436,0.44436600384358943,0.30784406565656564,0.4947624465455687,0.2972243465742948,0.3455037452449115,0.6476260521369617,0.9950381003012582,1.0300769971126083,0.5511980861994589,0.6666516061988885,0.7418330130593356,0.5745577085088458,0.7280374515397556,0.6508608855943836,0.6753077651515151,0.9012907528737887,0.6207656664717262,0.8590532962076944,0.676391272370679,0.3229960422942879,0.7189605389797882,0.7511274951958901,0.5426286540459946
PVC,1,0.8531583909490886,0.7567334118570869,0.8629726847674514,0.80558281967728,0.8255370959506696,0.8365800015709685,0.8612231980378194,0.8463836477987421,0.7371349095966621,0.7982663514578408,0.9054416056934949,0.8701725229503007,0.834853690321052,0.4358893777498428,0.30675304279544563,0.21241079484865885,0.22833811000745943,0.2690781980283571,0.43417641976278376,0.2402088772845953,0.46029874213836475,0.2805086429564872,0.18431836091410558,0.1566910559353884,0.22016460905349794,0.2149429372507207,0.9572038203617151,0.9494061456528171,0.9210183590303743,0.9157920330672286,0.9494694080583651,0.9514342398941886,0.9453424716582611,0.9553235053235053,0.9399167400528381,0.9335200292219652,0.9223685273446967,0.9306480558325025,0.9195749897834083,0.31233489128225966,0.23027177818166447,0.19031214552787462,0.17226567248855207,0.2928204277897529,0.184053897660577,0.30682356998146476,0.28013923013923014,0.3221919782243215,0.18450424124355697,0.2386299377978835,0.2057826520438684,0.17572537801389457,0.7116384270465458,0.6642379123272483,0.7025273899458134,0.6322252890115605,0.6948690603152032,0.5761212886923562,0.6873172659028053,0.6072876087042066,0.6741617357001972,0.5333693708678116,0.6477075098814229,0.642524202223019,0.5757054232539524,0.7686599738105632,0.7289034966142636,0.7762132658307953,0.7325493019720788,0.7756843227870601,0.6101152874289324,0.773409719478467,0.7110533978672333,0.7577514792899408,0.6238928853590585,0.7326086956521739,0.7270228277757859,0.5951971182709627,0.2847562649515667,0.11018002485866646,1.1066330209084356,0.4376421680131775,0.3086458744571654,0.4552727557943449,0.2854082042583582,0.32784313725490194,0.6546356135430639,0.9921748999462398,1.0348139255702282,0.5772775402956978,0.6520285740452422,0.7437154398211694,0.5667375005011828,0.748305695746215,0.6423248882265276,0.6825898144492696,0.9087415192752657,0.6187564165513547,0.8387843137254901,0.6932894362476121,0.3287736694343229,0.7322929171668667,0.7692850700027452,0.5346185548127118
PVC,1,0.8512007534139067,0.7441586491262517,0.8488271782442591,0.7713478073102744,0.8052993130520117,0.8142655367231638,0.8453783505969796,0.8551197828566932,0.7033712347895472,0.7758260801071246,0.9034350228200817,0.8796734500709892,0.821592528098781,0.4587976769737875,0.2990378951502062,0.2185843979788851,0.2514624474893015,0.24211972522080472,0.4345182046453233,0.24642207638175062,0.4562763069902836,0.2966686614801516,0.19187901224843448,0.15970053647209545,0.2609244360309197,0.23911666930504988,0.9540926279835725,0.9517311522651185,0.9229325659952459,0.9524818160019184,0.9438052913568966,0.9424833887043188,0.9357718644361618,0.9543388345141078,0.9426792272074085,0.9377828054298643,0.942629194563605,0.9650854040343994,0.9365845741875279,0.3122026592932948,0.2299444844683646,0.17836440218524544,0.23583246742866276,0.2677659176807742,0.14975083056478405,0.3012048192771084,0.28105164011630285,0.29219224014050776,0.15740142210730446,0.2791564767670288,0.3547338802361986,0.20412220554225669,0.7311879032577288,0.6460776545166402,0.6894905087020009,0.6107707707707707,0.6727215164826468,0.5564229950319376,0.671571721634843,0.6080554352533564,0.671552403467297,0.5154036901609717,0.6561213177066836,0.6436242144618567,0.5453635089124774,0.7709298183113644,0.7294770206022188,0.7692095189233987,0.7056256256256256,0.7698761328109541,0.5811450201088242,0.7656225343222345,0.7155399818890508,0.7466903073286051,0.6016475433951162,0.7403389293633196,0.7298942009386684,0.5468856398958541,0.28922702851092197,0.1090513882623139,1.1047080403546314,0.3788205751951975,0.29293289015511237,0.3967058823529412,0.32901796701944375,0.3481312992666379,0.6540215588723052,0.991649529507073,1.0247566398269439,0.5805325699047021,0.6772419212258128,0.7453625632377741,0.5354550301439527,0.7039896056251911,0.5775101031898615,0.6562994618550174,0.8909019607843137,0.6037903027319714,0.8758774853915839,0.6720149253731343,0.34990964043123324,0.7358490566037736,0.7901486332797364,0.5376682054807975
PVC,2,0.909137597282029,0.8655280722418531,0.8593395921010036,0.8719773522588763,0.8512068558848966,0.8853756497086155,0.818932327842826,0.8777397395034038,0.8395430096973028,0.8539899465912661,0.9056975249116039,0.8875779338647306,0.913407491843874,0.4633587484691661,0.22237926972909305,0.1712528326319197,0.20127393543821018,0.2663338312760437,0.45282721688454874,0.20138916451676922,0.4565379923661118,0.16312669310195907,0.1326971410618913,0.15774670523947285,0.26856601688895904,0.15081954325694744,0.9526694128099508,0.9602713970407913,0.923535457348407,0.9278152069297402,0.9481892785693872,0.9659282446424271,0.9435470441298918,0.9618014810019019,0.917478278440089,0.9018060595830872,0.9402960990762033,0.9575160771704179,0.9536070051413881,0.25450286729666427,0.27094743725987086,0.16497430626927032,0.13926434280453615,0.34360837790389087,0.3218155550204671,0.2557035803497086,0.3046170031966981,0.19082642958173368,0.1170984893239936,0.26483520916535563,0.300040192926045,0.2835796915167095,0.6754838964008357,0.6176204878431989,0.63933845245127,0.5771250345453828,0.6314940176322418,0.6780134587383416,0.636266981689309,0.631535465596601,0.618000471216524,0.44247290938134093,0.629501493945589,0.6184350289153783,0.6527351436442346,0.772105491386447,0.7499901802898779,0.7524315810198859,0.6693118559753642,0.7459461586901763,0.7837944197394828,0.7321519984248869,0.7296117077776467,0.7394172622319957,0.48814920347105295,0.7531844629658752,0.7470396160352492,0.7725698543880363,0.4285658261108279,0.13498873116919063,1.12745025519639,0.5316887599027375,0.3662783856924344,0.2760892584022903,0.2605587183900437,0.07191726958162944,0.5714781251354984,1.0006077641874953,1.0258694260721144,0.5054906267158208,0.6405341646305502,0.8367779128593278,0.6354829781345143,0.8287595236334049,0.7367636677386462,0.7999764678197435,0.8208949370563551,0.6252703120173,0.5325574079899339,0.6126262845249967,0.3412595912785839,0.7613078728397695,0.7879049337202918,0.5708568539893841
