Class,View,B_G/B_N,B_G/B_a,B_G/B_b,B_G/B_c,B_G/B_d,B_G/B_e,B_G/B_f,B_G/B_g,B_G/B_h,B_G/B_i,B_G/B_j,B_G/B_k,B_G/B_l,B_R/B_N,B_R/B_a,B_R/B_b,B_R/B_c,B_R/B_d,B_R/B_e,B_R/B_f,B_R/B_g,B_R/B_h,B_R/B_i,B_R/B_j,B_R/B_k,B_R/B_l,G_B/G_N,G_B/G_a,G_B/G_b,G_B/G_c,G_B/G_d,G_B/G_e,G_B/G_f,G_B/G_g,G_B/G_h,G_B/G_i,G_B/G_j,G_B/G_k,G_B/G_l,G_R/G_N,G_R/G_a,G_R/G_b,G_R/G_c,G_R/G_d,G_R/G_e,G_R/G_f,G_R/G_g,G_R/G_h,G_R/G_i,G_R/G_j,G_R/G_k,G_R/G_l,R_B/R_N,R_B/R_a,R_B/R_b,R_B/R_c,R_B/R_d,R_B/R_e,R_B/R_f,R_B/R_g,R_B/R_h,R_B/R_i,R_B/R_j,R_B/R_k,R_B/R_l,R_G/R_N,R_G/R_a,R_G/R_b,R_G/R_c,R_G/R_d,R_G/R_e,R_G/R_f,R_G/R_g,R_G/R_h,R_G/R_i,R_G/R_j,R_G/R_k,R_G/R_l,UV_G/B_N,UV_G/B_a,UV_G/B_b,UV_G/B_c,UV_G/B_d,UV_G/B_e,UV_G/B_f,UV_G/B_g,UV_G/B_h,UV_G/B_i,UV_G/B_j,UV_G/B_k,UV_G/B_l,UV_R/B_N,UV_R/B_a,UV_R/B_b,UV_R/B_c,UV_R/B_d,UV_R/B_e,UV_R/B_f,UV_R/B_g,UV_R/B_h,UV_R/B_i,UV_R/B_j,UV_R/B_k,UV_R/B_l
PMMA,1,0.7155855361204801,0.5746391590837778,0.6753578732106339,0.8674267741301357,0.3390223089113739,0.8633099171932027,0.5337389597644749,0.7603383828447767,0.7255717255717256,0.6526915520628684,0.6803861788617886,0.7208179605934532,0.7088960427135678,0.46297748843046516,0.42743959836837153,0.00727544439200881,0.005425594653037154,0.4042423503596245,0.0032573289902280127,0.0033758586849852797,0.01676175486917175,0.002079002079002079,0.005579567779960707,0.17977642276422764,0.0029437161472643065,0.003219221105527638,0.9031088745788733,0.814302393461763,0.7784611300384939,0.8187294633077765,0.813605379513633,0.8211506484868639,0.8506175716616173,0.8550965876735731,0.7112468783446307,0.7782790024682952,0.7308002084616478,0.8296766478082884,0.8007495859844853,0.1310077188792699,0.023350846468184472,0.012521569842042389,0.00454966720026961,0.0031319086219602065,0.07036913867642168,0.1868562106735027,0.026808007359060845,0.0020959686050660005,0.005915397055068516,0.016676931823565642,0.07538751667356608,0.021703129085679423,0.5163045735886679,0.5414211712602317,0.5281734003238799,0.5760942100098135,0.5376011423131841,0.49585706887622993,0.4037366732222338,0.5549999999999999,0.5024990083300278,0.41795202476141347,0.5369999607427473,0.4376310974249119,0.5046456397650099,0.43068998463008357,0.4646288900312389,0.5084084208777976,0.5793915603532875,0.4816753926701571,0.4105385810460901,0.33184970499948246,0.552198275862069,0.44986116620388733,0.42868197059582147,0.4617830644211518,0.37849779086892493,0.45343944002333236,0.11431757981318835,0.13849109325881942,1.2256438528786329,0.5109397135211711,0.347179306082811,0.4675462363058075,0.3336392097592573,0.9558096851616548,0.7184732824427481,1.0233726684430908,1.1956020571023231,0.436780706233552,0.7958859136144455,0.2476880895952414,0.4433286762137618,0.36937859336851225,0.225208562883677,0.4376710514699391,0.5380296069423176,0.561373205225089,1.7155866158407456,0.45117557251908397,1.395660449181576,0.38792339067210496,0.3322597116933108,0.25895147224787113
PMMA,1,0.5956078431372549,0.41679413264305604,0.6584016634626702,0.8095331502550019,0.39443876507871595,0.8413863484711701,0.5045781428066177,0.7402536217659299,0.677071063996859,0.6081462878668968,0.6267111853088482,0.6764867409383336,0.6634577603143418,0.488,0.462328901439385,0.00341323708266311,0.002785406041584935,0.42375792271519114,0.008870746163206027,0.007348606908476441,0.03992776098307879,0.0032194738908519825,0.009613875372782923,0.1295492487479132,0.0030990114545739844,0.005225933202357564,0.8888301154897292,0.8049525948103794,0.7608896312250012,0.8092548338040408,0.8019295424645521,0.8322564612326043,0.8510056539067569,0.8645828766823024,0.7154298862781538,0.7929395790902919,0.7937647700418106,0.8071877629820307,0.8257193336698637,0.18006700167504186,0.06368512974051897,0.002769109050151642,0.003302194221160113,0.004434049602884569,0.09213469184890656,0.17981277226805079,0.060321774582438294,0.0044249745563963005,0.0256704005431093,0.06639701872386838,0.09341121726647196,0.04538953390543496,0.5029225756995017,0.5068190047069236,0.45418772078880293,0.5386093572296953,0.5195930371194659,0.5105652173913043,0.45204547663006517,0.5778049526138797,0.5271106904846405,0.43620857420868864,0.5461986463088305,0.45252225519287836,0.44846300798888505,0.41998850134151017,0.41650239369191777,0.41354022268926355,0.4584101337307345,0.4885939114537795,0.44617391304347825,0.3858711495481489,0.5599205136044023,0.48365471824598766,0.454868067082594,0.5031481189988981,0.40489614243323446,0.3795588746092393,0.10816346922462029,0.155527961328662,1.2279780184257314,0.5251306637324635,0.3572594520668814,0.4672195582108325,0.35249932450689003,0.9794270631162176,0.7283406754772394,1.0137882269754286,1.2008879023307437,0.43718099725166865,0.7669908499741037,0.21502797761790568,0.4388221207148876,0.36600937449490867,0.20996581129406217,0.4400229408391053,0.5344312554044494,0.5696298297757363,1.8188028879745362,0.46090308370044053,1.3008661834894821,0.4030564330231367,0.30459363957597174,0.22834781607872473
PMMA,1,0.6106666666666667,0.5140448331560492,0.6509630094535754,0.7804055379064203,0.38138040427868386,0.8312865382351787,0.53139906177317,0.7583536441544146,0.664699169716287,0.6768541797611566,0.6838105034573404,0.675793355038638,0.6123145749941135,0.49149019607843136,0.49572548556120233,0.026399403757894326,0.005569282660705181,0.4213608817667873,0.011378349746929807,0.021642291165687708,0.05200880572372042,0.00814543737457207,0.03488372093023256,0.2869878278758786,0.00964970776291531,0.004238285848834472,0.8713784994897733,0.8549910202189908,0.7617150785480911,0.8364693092490384,0.7967611734593424,0.8385277192182782,0.8920031880977682,0.8761717245216796,0.7445624029000518,0.8128883585037653,0.7844695948980508,0.8181902985074626,0.84748303285173,0.13700696570389104,0.38352355019987255,0.052007340106521055,0.050050175614651284,0.025004922228785195,0.07059426813286993,0.1420917463691109,0.05774087231947952,0.012126704643535302,0.045142175219126786,0.0889248181083266,0.08978544776119403,0.08902027730357663,0.47045607728600314,0.5393367223432582,0.5260580299390131,0.5430476564032163,0.5765391679310069,0.5812693818482532,0.48693966970003366,0.5373426064821127,0.5754154659929736,0.42248772697699183,0.5015708451146718,0.440804888133413,0.512006460113052,0.3810829027184902,0.46840958605664484,0.5128442062465348,0.4740929594038047,0.48977880699512893,0.46508166218730623,0.37280923491742496,0.547206691213237,0.6219555520467375,0.44123735730762403,0.42401036757775684,0.3949556668351174,0.44489778571125,0.12212131041193643,0.15239679827322603,1.2150198938992043,0.480418782225371,0.32874196510560144,0.43820401114643437,0.35122546301430635,0.9172147319960539,0.7138961346929096,1.0194840339166515,1.1919803600654664,0.4870535538878629,0.7693951445361192,0.20634663206833173,0.435111071139491,0.3951425729442971,0.19352934230723817,0.4247015610651974,0.523686172926724,0.5712542974381724,1.8359914501808616,0.48067346454825705,1.3755186721991701,0.398772504091653,0.32603826961612514,0.2883599453908708
PMMA,1,0.8335113326213361,0.7578268143073369,0.7137055437268354,0.8085215000981739,0.55375157629256,0.8413159547738694,0.48941019293488935,0.7515322960867515,0.624897014398368,0.6373073293488519,0.7377904686884601,0.6902144035184168,0.6222510210493245,0.5751750326332028,0.40356886799968134,0.04069079725573693,0.011074023169055565,0.2905501261034048,0.011306532663316583,0.009116271759204682,0.019644821625019643,0.003570167523245322,0.009869455803711858,0.3139523434423001,0.004515825021597424,0.01209550738297204,0.9294746066853065,0.8945924373939939,0.8412363298568593,0.8163291409081219,0.8026353895163625,0.8368827890834517,0.8600055279159756,0.8418469774704438,0.7225892857142858,0.7806163655685441,0.787796116946301,0.824945295404814,0.8560599715219029,0.3943996995367859,0.2974159433303402,0.15416121268420385,0.0069494777232999355,0.0076262187469833,0.05637061576484199,0.16878570112400956,0.02186036136515726,0.018973214285714284,0.009564293304994687,0.0713863502023371,0.08627031053587225,0.061939860959879384,0.6571998209708264,0.6388574660633484,0.6424783230911691,0.5741998821912428,0.604368835110419,0.5757364975450082,0.47284780239738466,0.5837259477786094,0.5704703314149633,0.4487458315209511,0.5739157961380184,0.47268288188686197,0.5058536585365854,0.6633844651503438,0.6807530704589528,0.6546426466874316,0.539210681327312,0.6129946887105148,0.5575286415711947,0.38022157646204136,0.5319889040553035,0.5659059337170074,0.47141269150838533,0.5191516302627414,0.44329279528284504,0.4565853658536585,0.11487749916095316,0.14232509900056572,1.2167414050822123,0.4699048374306107,0.34639306305897305,0.5377295426841256,0.31657632973971056,1.0514892634495496,0.7320147138635952,1.0939775821670572,1.1780460203696719,0.4146159582401193,0.7723893019642658,0.21019322050151032,0.4100509145766547,0.36195814648729446,0.16804123711340208,0.41934898079629546,0.5643112736424049,0.5427958782536184,1.4167628723158623,0.45311463547005965,1.3309480083591918,0.3828743870237646,0.29059225244318854,0.21784485628676062
PMMA,1,0.769511334222292,0.6435725226817486,0.6928240559001335,0.7920687220522477,0.4063009234111895,0.8603400212022458,0.5231421505123072,0.7567355274526746,0.6175812968265798,0.64639560007857,0.6994700984102952,0.7050210026302359,0.6855975806134873,0.359792924935289,0.3746907034287734,0.03187563790531522,0.01922020867655135,0.44453265365812894,0.014213357414896542,0.08220468731598164,0.07450318121121671,0.012317106656729299,0.029149479473580826,0.13517221801665405,0.020767086719271386,0.04650249401044735,0.9141889030072003,0.8694074969770254,0.8132951925540091,0.8340121771992441,0.8039263445050663,0.8234820322180917,0.8605558728345707,0.8658120764815055,0.7239945735416393,0.8027723431711277,0.8238350944049888,0.8428911205073997,0.854063633366304,0.1432020330368488,0.23663319488985857,0.0543079156348732,0.02615998320386311,0.028010522213561963,0.08265179677819083,0.29597372929754423,0.04842677715913506,0.02463787142794626,0.03126170753028348,0.0871297419019574,0.07408386187455955,0.06346851302340917,0.5347453880471043,0.5827589003324953,0.5842910293509714,0.577373467463062,0.5382968601332064,0.5021539532657413,0.45756141763995173,0.5965981213505966,0.5385412928181202,0.40294280955024986,0.5641877199225082,0.5015016322089227,0.48314560039901905,0.5306056830513244,0.5430216527451138,0.6306324927656056,0.6204416850047154,0.47553916904535365,0.4377529263304469,0.4028896496173983,0.618938816958619,0.4850261195517805,0.4200444197667963,0.5718182896453564,0.46193688792165394,0.4234174321459745,0.1042142928138356,0.14329936184398515,1.2268580947092884,0.4680563290635691,0.35578144853875476,0.5804561541486434,0.3276818742293465,1.0361103212965594,0.7490935029424003,1.046328358208955,1.1881925691405157,0.406425293217746,0.7648611429882948,0.20480071563462876,0.40799123726069153,0.3518680098358055,0.16831092370116957,0.420811399528045,0.5820684231222966,0.543711467324291,1.6999573500142167,0.4672769422814005,1.2681791044776118,0.40795232330757053,0.278507825677637,0.26141840716089054
PMMA,1,0.6165731989489783,0.4839397890245347,0.693436384322649,0.845837091650653,0.4456742142615749,0.8679408186491896,0.5175321619077502,0.7676244308368662,0.6553982509118005,0.6799952911630827,0.7012762841301391,0.73469147432878,0.707563091173123,0.49111729871759674,0.48370273794002605,0.06112440660677155,0.0680418839954508,0.47777965528894895,0.014363643499077745,0.13708032632569817,0.09915214319359399,0.06478685438644652,0.06651232145660022,0.26864734804895907,0.049733082116501806,0.07484595156795792,0.8729832539023217,0.8486243879692236,0.7755254595022426,0.8372141720412095,0.8186183967491688,0.8300543150271575,0.8412253575570158,0.8662140234008028,0.7641991469954816,0.8193777924871752,0.7917316345168619,0.8255269863331017,0.8538931549830733,0.15242009531721393,0.3711238050827699,0.05588778471550436,0.0516793701315018,0.12966383450314,0.10657815328907665,0.32412060301507534,0.07169698522504056,0.043537012795067775,0.05709084891610128,0.08918786474807323,0.08617095205003475,0.07654198662373049,0.4570550856373354,0.5065825678364306,0.5161111367944154,0.5478581515769654,0.5290340817315458,0.5077293628202321,0.45180786209796087,0.5143171806167401,0.5263200064097427,0.4774123599566317,0.502491891464283,0.4877039760974488,0.4838303762426073,0.34023481883600554,0.473944884223003,0.49895982617539647,0.49431194100109843,0.49216604748828946,0.449967155682067,0.39746689089762455,0.4642988252569751,0.4976764682317122,0.5116939439310239,0.43568546792184165,0.44274879338083195,0.419697160354012,0.13948475828800164,0.1575191828356385,1.2228467515291783,0.457617640009587,0.34267883755588674,0.4854525438389557,0.3381811253651721,0.8722816399286988,0.7416445295607585,1.0510758093706014,1.1761837787154241,0.4140082401412596,0.7488776495993635,0.22888227445345374,0.40325497287522605,0.36477103653496445,0.16002236957737478,0.41277011922503726,0.5395926712274908,0.5464879969516067,2.083065953654189,0.45314140977327483,1.5115624371606677,0.3839662447257384,0.27639788110653324,0.33431834971870206
PMMA,1,0.7343376093523204,0.5808536633429235,0.6702532888278029,0.8996007984031936,0.5476045842951444,0.8386818360141232,0.5903927041157279,0.7356795354676711,0.6192439053115064,0.611959037940911,0.699483190912347,0.6779395033151556,0.6708130591743838,0.5101408340198501,0.4580065423875773,0.0294521892794031,0.25193612774451096,0.4726845664763293,0.037073362102785404,0.0715043830339243,0.08996390458254865,0.009853570447140109,0.02075567936595127,0.19408483856112163,0.010161246027698223,0.06070475592528646,0.9018703561363053,0.8785148192378678,0.7747790884951901,0.8172535507185479,0.8063515925960725,0.8347691247415575,0.8778733031674207,0.8369717079986029,0.7237992211163999,0.7774765380604797,0.7500676345928398,0.7907979196926392,0.8043199863399642,0.19672901187121017,0.36467267397676695,0.051277586732250906,0.02336330784099504,0.004040214225312411,0.09918447048012864,0.18986425339366517,0.015717778553964373,0.004327131112072696,0.0083837330552659,0.0142934439534674,0.011291758421965047,0.02151455647571075,0.4882479516676322,0.5369833512797151,0.6457670948323372,0.7231165741475021,0.6783693313142584,0.5825947497256689,0.4707868203096867,0.4938976481064376,0.5683228586110123,0.39947317765057494,0.527621239780935,0.5098589001447178,0.4981130457157561,0.41219068112223783,0.48641596951876087,0.6932468523464327,0.7590404440919906,0.6448154937435243,0.5601840128302523,0.3773856679870364,0.4475931066994919,0.5582829360844302,0.4164935920166152,0.49368997539487264,0.49344247467438496,0.4604168453555193,0.11166586653864619,0.1775862922795028,1.2167559668777397,0.4620476610767873,0.3369528820856254,0.47930763178599534,0.3939967407874678,0.910702614379085,0.7342047930283223,1.0256212510711225,1.1492604617604618,0.40799278374774495,0.7564102564102565,0.20508881421027364,0.4035556876145198,0.3438058126319208,0.23341089625290862,0.41143267160966274,0.5342250196695516,0.6047941964989749,1.8949346405228757,0.44983054950375206,1.5022279348757497,0.49386724386724384,0.27390383559494863,0.2083916083916084
PMMA,1,0.684156862745098,0.5123243582698799,0.6579536088543506,0.8338955130216504,0.4933193818415969,0.907313426964082,0.6192741713521802,0.7745448826327999,0.6285220940271564,0.7100621998267853,0.6908456375838925,0.7228186072116708,0.6901386325256254,0.540078431372549,0.5244524687966089,0.026963381608383376,0.04761531220583621,0.38550386349001936,0.1283292025650104,0.08850705775960367,0.07395902960720323,0.01707087355780551,0.04224076844342965,0.23253691275167787,0.01765561716015886,0.05270392333974787,0.8800798335385791,0.8034020488175035,0.7618527896620972,0.8101066909271359,0.8176953766721426,0.8014846604419184,0.8837438865706466,0.8439716312056738,0.7198510951432776,0.8048750712134776,0.7395494028230185,0.8091785263916411,0.8110057708161583,0.16089855195549704,0.05052485139749589,0.006024622369684798,0.0027706558597303784,0.04665571462098098,0.05167314272458389,0.236999147485081,0.01279206369925597,0.0043719158514414335,0.01448685602669488,0.005564603691639522,0.024410016213294902,0.01339653751030503,0.44868600441916223,0.505835936215683,0.594572918059083,0.6141568627450981,0.5595553415201863,0.5215515435848029,0.48938339465401837,0.5537914390956434,0.5940022155404335,0.4284962190102422,0.5317607947124708,0.4690162162162162,0.4628102564102564,0.3530158431667529,0.43785960874568475,0.5648977409437241,0.5465882352941176,0.5458303234609518,0.4651279688350857,0.43060419344829115,0.5236885558237012,0.6100253204620985,0.43811620560926584,0.4454822495745439,0.41647567567567567,0.37776410256410253,0.10896256897151664,0.22464309041709432,1.2213665410453876,0.4848025528520144,0.3234501347708895,0.5575189753320683,0.36002098135520477,1.1235042470084942,0.7437488592808906,1.1088896575579383,1.1472953216374269,0.41800706159278145,0.7720656192236598,0.21389869264800918,0.46435569655687225,0.35351466491889233,0.30179497407259676,0.4226323724245055,0.5915955091714105,0.6274855753182967,1.5435550871101744,0.45336740281073185,1.3697682462815635,0.49625365497076024,0.3129462534327187,0.3290203327171904
PMMA,1,0.6936717799835224,0.5587991963124926,0.7717079684247732,0.8741958261415346,0.6570927078346896,0.9202349972399653,0.5984060303874994,0.8370951136453632,0.7388370085537158,0.7852531296748287,0.7418216960618508,0.7919716646989374,0.825609756097561,0.45109655145356825,0.4547137848166095,0.07182971370223461,0.08131962968774518,0.32699058560714855,0.2735588675971926,0.15405755565152526,0.14263087035717115,0.09828925684689634,0.06664829540981025,0.18337762744624309,0.06599763872491145,0.07918961447678993,0.8861050747794964,0.8650251522372254,0.8052683092897569,0.8282404716432783,0.853530598520511,0.8461460600232805,0.8905579399141631,0.8744248870879237,0.7283677802331123,0.8262102408153201,0.7775843599357258,0.845472484104363,0.8180828342895431,0.14248583237462184,0.22488747683346572,0.049321247712668624,0.02391430706634559,0.22734812822237166,0.05885925401083051,0.26221349648433934,0.04546030138027099,0.017548420642142206,0.05958740856414892,0.05704338510980182,0.0814295110721333,0.05452489635244357,0.4953570414825027,0.5475626684085899,0.565574801828629,0.5793650793650794,0.6338329764453962,0.6121624928623868,0.4661589373951675,0.5598337252267384,0.5605115907274181,0.48832896046322266,0.5385471750626217,0.5151895447464081,0.6298418334409296,0.41875836340780986,0.4895484608475545,0.545065637713375,0.5593273613075593,0.6303179669508303,0.6082877885635043,0.38782356407815405,0.5647883775613033,0.5688249400479616,0.5638288247534606,0.5196612460737148,0.5032023541630604,0.6760813428018076,0.11407472185784384,0.19977201481903678,1.2101890419737265,0.48973792232396585,0.3542716991415724,0.4867242671716574,0.4142566191446029,0.8901621453071406,0.7453485487472091,1.0223459046353214,1.1065284516982796,0.4905586307070231,0.7155018302545331,0.26954282660447937,0.4408663436876603,0.4067606536366549,0.37961793495421536,0.4787209883272018,0.5474020594153154,0.6073319755600816,1.8912535079513566,0.4467253783180352,1.4921913939192557,0.6504925746213792,0.4555411612295372,0.5418404699072104
PMMA,2,0.7423095125414103,0.679533178251784,0.8435352015292634,0.7536112419532109,0.6856075501376326,0.8502244271202457,0.7234430781435938,0.7531630648330059,0.7228068797612502,0.6897621103870614,0.7923495099400818,0.6987237384645593,0.7808488084488241,0.301861492348951,0.38962267870520045,0.17314027738235652,0.16254514052441513,0.2974046401887534,0.2749429088904638,0.19726299087663623,0.4452259332023576,0.2010916516139166,0.11647169663185994,0.08479822229276616,0.18370312193206362,0.09571669742059596,0.9069661995053586,0.9157533593824454,0.8513873575891217,0.8803580650714409,0.8725639253628196,0.891876328844791,0.8845767230453214,0.8950836059614685,0.8227782571182053,0.8409660031407834,0.8627868852459016,0.8634712501107468,0.8619043523137794,0.19921681780708986,0.3359382445439817,0.1624862183020948,0.13466173179548974,0.27224141902787374,0.13284018426647767,0.17612866570517022,0.15026354053071608,0.13925798101811906,0.12223589830652348,0.16631147540983607,0.09121112784619473,0.13078444864957853,0.6319668737060041,0.599037057500296,0.5959652563743345,0.566643660427916,0.6025696606629094,0.6009930486593844,0.5756736438095993,0.6094067088456488,0.5870872664993827,0.4885656746475722,0.5675837320574162,0.5726587301587301,0.5671254423908769,0.6706004140786749,0.6429219779786101,0.6736580874994996,0.6156469489667492,0.6370945493240847,0.6013505461767626,0.6357773117556286,0.6319684851378775,0.639104632174294,0.5267845155515776,0.5999202551834131,0.604563492063492,0.6015336217066457,0.5412646112810858,0.23073904512753435,1.234755850676168,0.5774465072372561,0.3594106463878327,0.4205883511203875,0.32541029994340687,0.4456952343596784,0.6976682447679307,1.0058904220124263,1.1544392523364484,0.404945293676186,0.7858030086948521,0.7990899819565388,0.46274253324613035,0.41663292574297517,0.5474354940213971,0.4439638783269962,0.7813570669082031,0.5848189020939445,0.8363600706020788,0.6478916862085748,0.20697167755991283,0.6919781931464174,0.2536240470829877,0.4744444955605649
