Class,View,B_G/B_N,B_G/B_a,B_G/B_b,B_G/B_c,B_G/B_d,B_G/B_e,B_G/B_f,B_G/B_g,B_G/B_h,B_G/B_i,B_G/B_j,B_G/B_k,B_G/B_l,B_R/B_N,B_R/B_a,B_R/B_b,B_R/B_c,B_R/B_d,B_R/B_e,B_R/B_f,B_R/B_g,B_R/B_h,B_R/B_i,B_R/B_j,B_R/B_k,B_R/B_l,G_B/G_N,G_B/G_a,G_B/G_b,G_B/G_c,G_B/G_d,G_B/G_e,G_B/G_f,G_B/G_g,G_B/G_h,G_B/G_i,G_B/G_j,G_B/G_k,G_B/G_l,G_R/G_N,G_R/G_a,G_R/G_b,G_R/G_c,G_R/G_d,G_R/G_e,G_R/G_f,G_R/G_g,G_R/G_h,G_R/G_i,G_R/G_j,G_R/G_k,G_R/G_l,R_B/R_N,R_B/R_a,R_B/R_b,R_B/R_c,R_B/R_d,R_B/R_e,R_B/R_f,R_B/R_g,R_B/R_h,R_B/R_i,R_B/R_j,R_B/R_k,R_B/R_l,R_G/R_N,R_G/R_a,R_G/R_b,R_G/R_c,R_G/R_d,R_G/R_e,R_G/R_f,R_G/R_g,R_G/R_h,R_G/R_i,R_G/R_j,R_G/R_k,R_G/R_l,UV_G/B_N,UV_G/B_a,UV_G/B_b,UV_G/B_c,UV_G/B_d,UV_G/B_e,UV_G/B_f,UV_G/B_g,UV_G/B_h,UV_G/B_i,UV_G/B_j,UV_G/B_k,UV_G/B_l,UV_R/B_N,UV_R/B_a,UV_R/B_b,UV_R/B_c,UV_R/B_d,UV_R/B_e,UV_R/B_f,UV_R/B_g,UV_R/B_h,UV_R/B_i,UV_R/B_j,UV_R/B_k,UV_R/B_l
PVC,1,0.0007217610970768675,0.285228127102212,0.7604863944230997,0.3365100671140939,0.6415094339622641,0.001235712079085573,0.4785468615649183,0.021959723161783837,0.44876824101678964,0.4519906323185012,0.5296607954842418,0.0,0.5147545048768392,0.03626849512811259,0.25922994737050375,0.13086703370697508,0.21512304250559283,0.2375161809124073,0.05904938435058917,0.2431642304385211,0.18067336212728313,0.16738584654009103,0.1524629857500099,0.006951340615690168,0.0,0.19213919656141512,0.8816897813324257,0.8242695289206917,0.6558692120227457,0.8053539283433018,0.8106312292358805,0.8437695028084045,0.8825965006010418,0.8335669236159776,0.7458160237388725,0.7904790599578188,0.7698393670582594,0.8484876686831084,0.7952351925226049,0.09708159618820726,0.020930232558139535,0.04467912266450041,0.09203878984960222,0.4505721668512367,0.07135427501560225,0.17007257023284805,0.36115977575332864,0.12035608308605342,0.11581801747514311,0.08271397746343802,0.09553280595625872,0.07172609976633139,0.5835981950166764,0.5110976594027441,0.4533174413984903,0.42812868305032953,0.4676045175351694,0.48160386862784604,0.4442801774083989,0.4718193204314977,0.5103169621842147,0.07577795713388932,0.4838001098297639,0.528038300043166,0.5331502550019616,0.5087698646262507,0.40698143664245356,0.34322606277314266,0.35051726395739663,0.31872399445214983,0.3528510981261334,0.3164182682702681,0.37097491010464223,0.3878471677388985,0.09317549995516097,0.3130540519337884,0.4437860534473963,0.4159278148293448,0.4614052351899232,0.1270844595999501,0.9508221225710014,0.2363855421686747,0.731962822936358,0.1910420833823587,0.2042010414838219,0.00031988484145707545,0.7816722797388882,0.7984367084026923,0.9262374012967837,0.3983680428693216,0.5466672536761469,0.42164928163747295,0.35039713893624985,0.08931240657698056,0.12751807228915663,0.6063720856962823,0.46683923598854765,0.3903809022292435,0.32852173217641645,0.4977339819550123,0.02250850401679091,0.07928355909353534,0.34612105711849955,0.1810777494056529
PVC,1,0.0010704727921498661,0.31675486412286635,0.7394913956393826,0.3611564996368918,0.5825715070428061,0.0014565677966101695,0.4498168498168498,0.084910013844024,0.40123941010354564,0.41751129564049333,0.5219979436116673,0.37173003139169863,0.4976949040915452,0.031489741302408565,0.25830581307444395,0.21859509128279533,0.2505900508351489,0.2160709381253188,0.05958686440677966,0.20978237448825682,0.26893298466902527,0.16088798242861627,0.15874954206862865,0.005628010173710699,0.3032350889431461,0.1613567135918334,0.8656366634840726,0.8272983920461521,0.6375500976261432,0.8030733545955351,0.7893708479874951,0.839659138435801,0.8736695558449724,0.8741921269095182,0.7309382763233326,0.7786594963273873,0.7564988319498981,0.8177134931642561,0.7753673523911302,0.09582501518965367,0.12955689210752425,0.012742780803617305,0.09776746883154538,0.4200859710824541,0.06529694688414889,0.13989311537252436,0.42075499412455936,0.10427415758965539,0.1143756558237146,0.0937422337094289,0.0725183277194373,0.051349185145605124,0.5616664051467127,0.49631159634110356,0.44658067656364075,0.43835075085623953,0.42004878243832217,0.4492580379225062,0.41058357665693374,0.5256436411114285,0.46295352029809766,0.07018357129612461,0.4287955445738714,0.5150825716863453,0.5046871935673661,0.48678016632669074,0.4109513973780719,0.35519591141396933,0.3606305436023535,0.27310168339397817,0.3328524319868096,0.2706691732330707,0.4791709168060712,0.30590311825848204,0.08993139254589282,0.25348080166294074,0.3849291962499509,0.3398705628554619,0.37497053045186646,0.14009806011511403,0.9546999762827102,0.24299156550143824,0.38480853735091025,0.0,0.20326634691275572,0.0003649783040674804,0.6514386673397274,0.8245627205164777,0.9265501456512693,0.23308051341890315,0.5336952620244078,0.3886836935166994,0.34845448731613726,0.0952644477824334,0.13831602554726732,0.5746233521657251,0.0,0.3954222573007103,0.3222758424915852,0.510550227158001,0.038435552886419935,0.0909973644056041,0.2273712285380897,0.18121859296482412
PVC,1,0.0002598752598752599,0.387421022400919,0.8059073437183897,0.3972991570617581,0.5523219328522121,0.0006912641493130562,0.5423521967094558,0.021129949187503144,0.5049762007788836,0.5746842853558586,0.5149634227444025,0.3757816422474782,0.5744468058507313,0.026767151767151765,0.334782965454993,0.19700586688246002,0.28763117151212797,0.28604486978349547,0.05374578760909012,0.33728078105225096,0.17643507571565126,0.2704456945045435,0.28623400518524716,0.005819108845045445,0.30717969784106985,0.2501145976580406,0.8592615825790841,0.8534365581230423,0.7923019985196151,0.820184830384312,0.8183720756409298,0.8105643591882125,0.8639152810768013,0.8609162811520668,0.7768992590954328,0.7955706984667801,0.8361568916306049,0.8504609412906357,0.809969162327486,0.11286853660722287,0.3498611193191892,0.18645447816432273,0.1274653443029415,0.45795649899095603,0.029802613288851823,0.27444576405384,0.4297865990150724,0.23626009067787235,0.12624726210756873,0.13852315624712272,0.10334788937409026,0.10939790708255397,0.5512021022081028,0.518046357615894,0.5168780565385074,0.4710991717036042,0.4674852572905727,0.49292696003629316,0.4429746011071312,0.5096805227081412,0.4754394224733208,0.06489200454717696,0.4573445773681114,0.5166934756169328,0.5121625863151287,0.42910930697729144,0.5243791390728477,0.4463440817462527,0.42278934407880014,0.37248566120042004,0.4169175568111519,0.34255942689677626,0.45644766905840384,0.40995762711864403,0.08904888215233044,0.30758972347519126,0.3985640864686728,0.4173728813559322,0.283943352555804,0.13848109031947062,0.9538070233016082,0.24383410875981792,0.4804747774480712,0.0,0.19991242884843935,0.00044899791828237887,0.6984280792420328,0.8427657480314961,0.924487748961169,0.23094479373008356,0.5164020201101052,0.36671766505825587,0.33217932424733776,0.1446504758779127,0.1421781980089049,0.5950544015825915,0.0,0.39394508037780696,0.3211151475570431,0.5324612403100776,0.009924540682414698,0.10531594784353057,0.19335113254672293,0.1778970835797807
PVC,1,0.0016194331983805667,0.3210612669574613,0.7433986716345375,0.36486663465316277,0.5544138985842582,0.0004791775570656909,0.4770155902004454,0.00777723391526622,0.40989842738930937,0.43323430223221454,0.5178413610251879,0.0,0.5181396148555709,0.03436797121007647,0.2844451558685822,0.1861736594848534,0.24756624612563846,0.2706380642378133,0.054364871928907474,0.2926057906458797,0.14314461304182302,0.17726185340601594,0.18544242813553877,0.01055015466195316,0.0,0.20920735900962864,0.9168162009741092,0.8392790086368757,0.9029332162972715,0.7570696526855191,0.7752380952380953,0.8351792556821165,0.8569540175620811,0.8021014073645653,0.6596079459778404,0.7858879222108496,0.8041545638588152,0.8273291303912738,0.7691899633971673,0.12804409125865163,0.2812617348854675,0.3214834320825104,0.02834187385335611,0.38824016563147,0.08844680069287703,0.21319988669625153,0.2763639868903027,0.010161935356978955,0.13664278403275332,0.1313264677405158,0.0868107675372761,0.08678584690467349,0.6188215910874,0.5173403088346975,0.5468,0.5042829276566874,0.43309519987156847,0.4580015840593606,0.4299622733357673,0.44247566758173196,0.4579688541952693,0.09038723487059738,0.5202936096718481,0.5275501000039218,0.5034709965878339,0.5531147026518124,0.4443506877056788,0.49156,0.4871088118056145,0.2982822282870444,0.3807995331193464,0.3207172122834774,0.34863988020963316,0.3264425528576472,0.10935979762599728,0.437588318417334,0.3881328679556061,0.34611915127269877,0.3613630118164331,0.13796259971230548,0.9437874487543361,0.23562006570882163,0.3798823529411765,0.028745098039215686,0.19917037760019518,0.0008759124087591241,0.6648384824393679,0.8271458271458272,0.9213864818024263,0.2207853786801155,0.5296383576543098,0.3735327601774428,0.33599232814611396,0.08025859350362662,0.12170842936301672,0.6054901960784314,0.38556862745098036,0.38516439943878483,0.31511991657977056,0.5190198248968502,0.044698544698544694,0.08610051993067591,0.17539549118496486,0.16532221517266382
PVC,1,0.0018781862087469813,0.30190773785050573,0.7721309440052974,0.33231693014964586,0.5014314286834778,0.0018960271616914326,0.4889252740255606,0.04351103931071621,0.4187536858659328,0.43481896479638765,0.5425634436235143,0.36595451412818747,0.5840077558590457,0.03157141579465164,0.26116273332785134,0.24533377477962173,0.22137261340713985,0.3513078944272324,0.05979099607566472,0.2960840496657115,0.21701669359181475,0.21128366424218598,0.20787691278534995,0.026126994324874184,0.30613370089593384,0.25665992244140956,0.842107601403883,0.8471637665682519,0.7713807531380754,0.7971486511399251,0.775594039468385,0.8358500527983105,0.8644332827899924,0.8335467349551857,0.7581002331002331,0.8489007576698546,0.7663791432448148,0.8237590072057647,0.7902153261557948,0.10378070993824692,0.35228343488912617,0.2626778242677824,0.10200946352854423,0.4389850986709625,0.09165786694825764,0.25886087945413194,0.4154502774221084,0.19219114219114217,0.20028567879766487,0.0976448924210118,0.10723578863090472,0.09267468862149039,0.5656965798556636,0.49419186425929956,0.45700056684751805,0.4213514781792586,0.416254849908107,0.46052631578947373,0.37910674370545316,0.46645169291826866,0.4580188679245283,0.09821877830331086,0.47571596704590036,0.505353151103965,0.48592046435014513,0.46426890492626294,0.4378072656080052,0.37391691634950197,0.3683247301736274,0.29736573412293243,0.38046459797702725,0.26928429842689044,0.37975939476621606,0.3376965408805031,0.11794304115930361,0.31408395449195764,0.36648496019451743,0.3485371401678563,0.33566461042788104,0.15386309576248788,0.9476473422193672,0.24846671652954372,0.4672257605126785,0.0,0.2092090179594956,0.003830933737475794,0.7090750245713663,0.8441275978733688,0.9289298233555571,0.23475517524525694,0.5250528638411327,0.3701622726022553,0.33728305876134257,0.11289545527541352,0.13183744702069308,0.5691680841805451,0.0,0.3941536110049675,0.31998821251157705,0.537512285683084,0.011519252456903495,0.16001099731940338,0.17913479407061672,0.17293371334007537
PVC,1,0.0002621231979030144,0.3247237003683995,0.8351436931339934,0.2729373932268114,0.5070394917447743,0.00021135393329669867,0.4734484059611394,0.06632205658374486,0.4673904461113304,0.4685049224094777,0.5398581084855595,0.0,0.5377398182430159,0.02673656618610747,0.28088415882112155,0.16674014990580785,0.16390312531403878,0.37228910937683835,0.05068267320454834,0.2995661196000755,0.22831956431439518,0.2643900513225424,0.21245619889871517,0.02457963242276968,0.0,0.24528778189161896,0.8661503938047256,0.8622458001768346,0.7889352537353613,0.8094002476853217,0.765205909053396,0.7923401858631371,0.8512154031287605,0.8689491525423728,0.7320570971184632,0.7939540059347182,0.7891486546096161,0.8289120715350223,0.7804460608653794,0.13094557134685617,0.3932802829354553,0.16758648539507334,0.13038863006428025,0.41181810679211023,0.011883976344691634,0.3432972322503008,0.4092203389830508,0.12439967982924226,0.15399357072205738,0.08611478704112141,0.11569796323894684,0.09038883243301063,0.5654920734578559,0.4711005542359461,0.5252742012398666,0.4274290468706665,0.40670304609871316,0.46794464897803734,0.39542334096109844,0.5640381317059551,0.46211644374508265,0.1594503012048193,0.43756385068762277,0.512294599788227,0.4622445377162358,0.4660571338879297,0.399489751033694,0.4799713876967096,0.37991125080891186,0.28099038931422055,0.39016546062375695,0.28525067609735805,0.5289777033225639,0.3405192761605036,0.1797816265060241,0.3204715127701375,0.3640927095180203,0.32028399952928255,0.3356994391936938,0.15019272517832616,0.954926858246083,0.24521677182983917,0.44535585042219544,0.044000000000000004,0.21074619191464747,0.0045343857586699135,0.7011398849048252,0.8549780022812449,0.9261278060675607,0.2276271333275578,0.5195721333394808,0.428212871092984,0.3306012139471003,0.2568500779683672,0.13398127417056788,0.5369119420989144,0.38266666666666665,0.39539816183559356,0.3256780586111344,0.5272797698096503,0.005947531367117484,0.19228286595424227,0.17872303560599495,0.18673060076536493
PVC,1,0.0016082916368834882,0.3567043618739903,0.7658370132476917,0.31950837988826813,0.5802871038594288,8.223007976317738e-05,0.553540898047332,0.00034227527488983015,0.5072372808221864,0.46308589006719014,0.5238872565023398,0.0,0.5735659831220189,0.033506075768406,0.3165993537964459,0.2446407065435568,0.23383240223463686,0.32522748666457485,0.048639092179919415,0.3594438945379286,0.0927993839045052,0.26728905974188993,0.22800129523192747,0.005278049842202633,0.0,0.26931387337437324,0.8746569468267582,0.8094014898535834,0.6781253026048224,0.7572395293543863,0.7564676428192094,0.8032586331535337,0.8732653159905227,0.7837248728505691,0.664725560649238,0.7066269052352551,0.7372118762330975,0.7872514859602378,0.7407407407407407,0.12337049742710121,0.03859491394811199,0.012201026435557278,0.005913552398951411,0.030194977619300508,0.005115942834899627,0.2724723175861902,0.005489626221038185,0.003778961714781316,0.0046388336646785945,0.0027910110196814396,0.0049190407870465256,0.005022906662250925,0.5756957255563842,0.5796439981743496,0.5390358447396941,0.4490497737556561,0.4306813545491636,0.4880158663178328,0.40571002361911074,0.4704549133883762,0.5132642649713524,0.11191815856777493,0.41096589348090584,0.5361107841983445,0.5107368586346327,0.5043372453585587,0.5095639185096055,0.4320234415766869,0.4073303167420814,0.3264381884944921,0.4152249134948097,0.29760079559109925,0.37651772705196696,0.3927870653794836,0.13473145780051152,0.23870638565092822,0.4592209014946452,0.40171946767165234,0.33989083912514234,0.14496182865306487,0.9436033004886647,0.24291832960186896,0.43509232728430436,0.0,0.2049375,0.006545930613135501,0.0,0.8130375371754682,0.9135457023963266,0.22210996042771744,0.5232606199770379,0.3673381238465465,0.32095182820661633,0.09028278458703837,0.12469580453616276,0.5124164278892073,0.0,0.38106249999999997,0.30888064586515385,0.0,0.019934088899606142,0.11256995264743866,0.1718447419381999,0.15407577497129735
PVC,1,0.0015189421015010722,0.27994838917785575,0.7507387168589355,0.32311052861511574,0.5416993566609133,8.441668073611346e-05,0.5147681287501744,0.004883473551880863,0.3840392156862745,0.5427475563987297,0.5660836838609696,0.0,0.5631836734693877,0.03261258041458184,0.2435385669932664,0.2703096539162113,0.21384884228920928,0.35595480935195356,0.0495525915920986,0.33559700451183777,0.10071559810463204,0.17929411764705883,0.32412257186456056,0.06707992030108478,0.0,0.2610204081632653,0.8571493687041343,0.8133274212960031,0.7842667806755024,0.7622641509433963,0.7515597920277296,0.7973710593739557,0.8533973225562012,0.776661583998565,0.6599046147645596,0.7072197846031113,0.7101464219426686,0.789238621863037,0.7346409649419458,0.09458042754911346,0.03407867232533097,0.22274476271911073,0.02371069182389937,0.27478336221837085,0.006906538932828339,0.3138671381662036,0.01058390887075074,0.004634916369987236,0.005650844302619333,0.0052588162507733556,0.033655891110165884,0.0065381580430616615,0.5389411764705883,0.5161830590796801,0.48469899330204946,0.46071144146535703,0.46420859645548995,0.46367120954003405,0.39656612916701484,0.525249666437553,0.46149923508414076,0.10740819358947144,0.4721565847511027,0.5178823529411765,0.5225426721600941,0.379843137254902,0.44768245195327216,0.4160750812176633,0.4182373241306079,0.3614585455286209,0.39263202725724017,0.29091820536385665,0.47187967492823346,0.32169615188483114,0.13256208872850775,0.3465264650283554,0.37501960784313726,0.41832450461055526,0.29610297869000435,0.14588906723738185,0.94303950876626,0.24280098280098278,0.0,0.0,0.20786300667008722,0.03602199064577008,0.0,0.8431768603054052,0.9228348521602308,0.2249452766213142,0.5223521797420368,0.3540677367450257,0.3168360977349741,0.1582774501090733,0.12147420147420147,0.0,0.0,0.39154694715238586,0.3850824649216378,0.0,0.011392098246748,0.2393627483118075,0.1610369543757243,0.16998751791410477
PVC,1,0.0009734513274336283,0.48109760940354224,0.7785172636334301,0.41575835578972775,0.6596514692577004,0.0003711034141514102,0.5773354406048439,0.004567390554981041,0.5598758886139586,0.5246792694136925,0.5256899749100032,0.4403486619689626,0.6364037551151408,0.02929203539823009,0.29882455722341356,0.21769119070667958,0.2364557776615855,0.23433381849651863,0.049068118093353125,0.2783306992439451,0.10604102033781454,0.17925454616865008,0.1477558850565525,0.012981346132867895,0.3272779112867093,0.1921287009548263,0.8908672428019281,0.8229053162814705,0.6783377541998232,0.7681472822910579,0.7609564816238659,0.8194960549758209,0.8991539610007692,0.7809820077349925,0.664923774725967,0.7108949654370832,0.7345717431895438,0.7946827853948597,0.7560616420343975,0.15299431102618663,0.011068417732408097,0.020159151193633953,0.016890707188778494,0.05697370444410272,0.006922881140239248,0.2275709179749355,0.021943837228854884,0.010583343832682373,0.01143940784241757,0.00856992387609518,0.010713057152685636,0.010203544942933782,0.589143328488943,0.554474785728523,0.4843260809257718,0.49962630792227203,0.4883122028526149,0.5291365036195657,0.44365698086463506,0.5177849797943423,0.5496048130234753,0.22237402555653782,0.4375319316172136,0.5611089264648054,0.5439698492462312,0.5359990573078283,0.47610125573051626,0.3695953711409662,0.459309084869623,0.36929477020602214,0.44662640483142024,0.2713205764233404,0.44404433241307567,0.44937281270889856,0.24463553805352406,0.28194144232658674,0.5077860794337397,0.4667478015075377,0.3847058823529412,0.16511954992967653,0.9049600873302858,0.2809474019184434,0.48688550337678654,0.1024895939684285,0.24806659188854127,0.0005598432438917104,0.658876629889669,0.8374380480365993,0.9035226077812828,0.24688650750961977,0.5510131214853164,0.48745098039215684,0.31143258991360256,0.015419253598962953,0.10274128290221395,0.617716349929323,0.3394722374931281,0.3565735875789598,0.2894389570920142,0.44844533600802405,0.0041936713686618375,0.013866982124079915,0.16823203276924986,0.20632866196554492
PVC,2,0.8235063355694167,0.7154847342172486,0.7911024222773221,0.7702325215407012,0.7162731536688131,0.8291611080593266,0.7761111622342873,0.8056721452947867,0.7732681597820426,0.7365009059794645,0.872770564715396,0.7656476866930896,0.8007636655948552,0.5097485386999333,0.39330170701050154,0.33606713713522796,0.3187236888696542,0.3630654265044916,0.49839127364043,0.4278549737738106,0.5110030204369828,0.317400536880484,0.21751560297966582,0.28056067208769486,0.2587607424557548,0.23171221864951766,0.9315133276010318,0.922723369867165,0.9034607574821223,0.9112733951373096,0.9028443895721544,0.9421726921726923,0.9301541200168643,0.9389334327801603,0.8997262451430591,0.90952207223641,0.9151544443956237,0.9147664379012619,0.9306739657183881,0.20494411006018917,0.3647153896661447,0.2628674847709014,0.2045216022389365,0.3241369485730567,0.22854510354510357,0.3801939382583033,0.3313910124930076,0.24554044507241257,0.16782196278730388,0.26253350322949165,0.2510515829090104,0.21560621017679257,0.5731289449954914,0.5841269841269842,0.5229573712255773,0.5212444444444444,0.5918806121158467,0.5925330172705723,0.5406468531468531,0.5738224831783311,0.5530505668067761,0.48586564572853136,0.557348752912747,0.5631046710151906,0.5627043819489863,0.4899458972046889,0.5396396396396397,0.4603907637655418,0.49693333333333334,0.5850933771763416,0.5320860142228242,0.46752622377622377,0.5144644923498907,0.526896785972063,0.5175176957663714,0.5407353068093553,0.5539552598170118,0.5441056245912362,0.07248261434952225,0.03140916808149406,1.6586552217453503,0.11391851722329079,0.19465065502183407,0.1279690758354102,0.3986562853196032,0.06491800500021187,0.5870348139255702,1.0423521176058803,1.5540997464074389,0.25338223308883456,0.5704963628583654,0.32521060666025897,0.31560083003206946,0.671244635193133,0.11522993530337472,0.39257641921397385,0.4361934794771375,0.6726736154715559,0.4311199627102843,0.5324796585300787,0.05635281764088205,0.8207945900253594,0.5797881010594947,0.17725716730851518
